t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
108,0,7.184778,0.977077,2.839835,0,0,22.577999,1,4180407.3924,851770.9748,4726072.5035,4180405.7616,851774.5394,4726071.6309,6.6273
109,0,9.938503,2.947208,2.928409,0,0,22.577998,1,4180407.9238,851771.8102,4726072.8054,4180405.0315,851774.3906,4726072.2991,9.2854
110,0,13.786956,4.135095,3.149499,0,0,22.577997,1,4180405.6565,851772.2854,4726072.3310,4180404.3014,851774.2418,4726072.9672,10.9601
111,0,12.900814,2.316669,3.108508,0,0,22.577996,1,4180404.6753,851773.2292,4726074.5507,4180403.5712,851774.0931,4726073.6354,11.5496
112,0,1.674765,0.055123,2.783710,0,0,22.577995,1,4180403.8383,851773.0576,4726075.5253,4180402.8411,851773.9443,4726074.3035,2.9856
113,0,17.863973,4.692217,3.238565,0,0,22.577994,1,4180404.5504,851773.5374,4726074.2841,4180402.1110,851773.7955,4726074.9716,17.0641
114,0,36.552419,12.569823,3.897978,1,0,22.577993,1,4180404.8917,851773.8277,4726079.7233,4180401.3808,851773.6468,4726075.6398,36.3431
115,0,9.661792,1.773699,4.017872,0,0,22.577992,1,4180403.2527,851773.7397,4726079.7525,4180400.6507,851773.4980,4726076.3079,3.8787
116,0,19.064221,3.513444,4.284736,0,0,22.577992,1,4180402.4695,851773.1803,4726078.2221,4180399.9206,851773.3492,4726076.9761,15.4328
117,0,14.047576,5.600677,3.858103,0,0,22.577991,1,4180399.5634,851773.0651,4726078.1222,4180399.1904,851773.2004,4726077.6442,11.1071
118,0,13.559996,4.789797,4.239375,0,0,22.577991,1,4180398.1058,851775.0040,4726079.8271,4180398.4603,851773.0517,4726078.3123,13.8032
119,0,7.915639,2.070574,4.151712,0,0,22.577990,1,4180398.2738,851774.3085,4726080.7919,4180397.7302,851772.9029,4726078.9805,6.8238
120,0,6.445070,0.604746,3.798677,0,0,22.577990,1,4180397.1694,851773.9132,4726082.3280,4180397.0000,851772.7541,4726079.6486,7.7384
121,0,3.319851,0.327706,3.599781,0,0,22.577990,1,4180396.8611,851773.9916,4726082.9925,4180396.2699,851772.6054,4726080.3168,3.7532
122,0,9.546253,3.058678,3.900136,0,0,22.577990,1,4180394.6359,851773.0713,4726083.9598,4180395.5398,851772.4566,4726080.9849,9.1026
123,0,4.746214,0.757223,3.506637,0,0,22.577989,1,4180393.5576,851772.1755,4726084.8615,4180394.8096,851772.3078,4726081.6530,5.6703
124,0,7.234880,0.991841,2.348839,0,0,22.577989,1,4180392.0186,851771.4431,4726086.4420,4180394.0795,851772.1591,4726082.3212,10.6804
125,0,8.095778,2.196452,2.391114,0,0,22.577989,1,4180391.0977,851772.7028,4726087.4641,4180393.3493,851772.0103,4726082.9893,9.1752
126,0,27.920070,8.603936,2.900163,0,0,22.577989,1,4180391.2951,851773.5511,4726084.8527,4180392.6192,851771.8615,4726083.6575,23.0603
127,0,10.343376,2.753798,2.615475,0,0,22.577989,1,4180390.6042,851772.0629,4726084.7321,4180391.8891,851771.7128,4726084.3256,8.0801
128,0,6.042416,1.221151,2.258610,0,0,22.577989,1,4180389.8998,851773.0246,4726085.2309,4180391.1589,851771.5640,4726084.9937,6.3486
129,0,10.631364,3.813767,2.432930,0,0,22.577989,1,4180390.8094,851772.2458,4726085.7284,4180390.4288,851771.4152,4726085.6619,8.7640
130,0,3.929573,0.516411,2.424096,0,0,22.577989,1,4180390.1410,851772.8698,4726086.2488,4180389.6987,851771.2665,4726086.3300,4.8447
131,0,14.893571,2.580316,2.649357,0,0,22.577989,1,4180388.8087,851772.2403,4726084.9804,4180388.9685,851771.1177,4726086.9982,14.6398
132,0,9.637112,2.063678,2.549857,0,0,22.577989,1,4180389.2571,851772.6366,4726086.2991,4180388.2384,851770.9689,4726087.6663,8.5994
133,0,5.509979,0.860357,2.560171,0,0,22.577989,1,4180388.6852,851771.7297,4726086.4709,4180387.5083,851770.8202,4726088.3344,5.3160
134,0,8.180551,1.398920,2.600879,0,0,22.577989,1,4180388.5772,851770.7197,4726086.1837,4180386.7781,851770.6714,4726089.0026,9.7781
135,0,11.616390,3.665268,2.747760,0,0,22.577989,1,4180389.1045,851771.9485,4726087.4105,4180386.0480,851770.5226,4726089.6707,11.6185
136,0,16.897290,2.540607,2.141427,0,0,22.577989,1,4180388.5335,851771.7847,4726090.1262,4180385.3179,851770.3739,4726090.3389,14.7180
137,0,7.758897,1.379838,2.004031,0,0,22.577989,1,4180387.0285,851771.5196,4726091.4502,4180384.5877,851770.2251,4726091.0070,5.4025
138,0,5.688731,1.006934,1.982610,0,0,22.577989,1,4180387.3068,851770.9551,4726092.3940,4180383.8576,851770.0763,4726091.6751,7.7613
139,0,10.489403,2.366758,1.837909,0,0,22.577989,1,4180385.7016,851770.0558,4726092.1350,4180383.1275,851769.9276,4726092.3433,7.7933
140,0,8.393713,1.241587,1.910426,0,0,22.577989,1,4180384.6896,851770.6430,4726091.8875,4180382.3973,851769.7788,4726093.0114,8.3174
141,0,7.788217,1.483649,1.800760,0,0,22.577989,1,4180383.0680,851769.9800,4726093.0982,4180381.6672,851769.6300,4726093.6796,5.1051
142,0,8.124807,1.793152,1.773707,0,0,22.577989,1,4180382.7166,851768.5936,4726094.2781,4180380.9370,851769.4813,4726094.3477,8.0624
