counter,mode,seed,max_D,threshold,num_windows,num_flagged_windows,exceeds_threshold
hpmcounter8,replay,test_seed_6,116.31950758449004,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_7,116.31950758449004,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_8,116.31950758449004,210.3186740895653,282,0,False
hpmcounter8,replay,test_seed_9,116.31950758449004,210.3186740895653,282,0,False
hpmcounter9,drift,test_seed_1,78.70790709906825,165.14037238157442,282,0,False
hpmcounter9,drift,test_seed_10,109.55266189565326,165.14037238157442,282,0,False
hpmcounter9,drift,test_seed_11,43.76861485792915,165.14037238157442,282,0,False
hpmcounter9,drift,test_seed_12,61.9327392829439,165.14037238157442,282,0,False
hpmcounter9,drift,test_seed_13,42.732728207828,165.14037238157442,282,0,False
hpmcounter9,drift,test_seed_14,58.088130460331534,165.14037238157442,282,0,False
hpmcounter9,drift,test_seed_15,58.21562446571626,165.14037238157442,282,0,False
hpmcounter9,drift,test_seed_16,116.17742883283316,165.14037238157442,282,0,False
hpmcounter9,drift,test_seed_17,69.44312449954045,165.14037238157442,282,0,False
hpmcounter9,drift,test_seed_18,40.32744639633362,165.14037238157442,282,0,False
