t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
157,1,21.469390,0.000000,0.000000,0,0,22.577989,1,4180859.2830,852258.9931,4726101.2829,4180369.9850,851767.2497,4726104.3698,711.0248
158,1,29.330682,0.000000,0.000000,0,0,22.577989,1,4180887.3502,852287.4802,4726102.2620,4180369.2549,851767.1010,4726105.0379,710.4678
159,1,70.131015,0.000000,0.000000,0,0,22.577989,1,4180910.4707,852309.9770,4726104.4418,4180368.5247,851766.9522,4726105.7060,710.8644
160,1,101.700261,0.000000,0.000000,0,0,22.577989,1,4180927.6714,852328.2624,4726104.3940,4180367.7946,851766.8034,4726106.3742,709.8227
161,1,135.134908,0.000000,0.000000,0,0,22.577989,1,4180939.9993,852340.4098,4726106.9271,4180367.0644,851766.6547,4726107.0423,700.9541
162,1,141.152550,0.000000,0.000000,0,0,22.577989,1,4180949.5814,852350.1567,4726108.5415,4180366.3343,851766.5059,4726107.7104,709.7062
163,1,158.146630,0.000000,0.000000,0,0,22.577989,1,4180954.5922,852356.5111,4726108.5618,4180365.6042,851766.3571,4726108.3786,704.4537
164,1,169.180849,0.000000,0.000000,0,0,22.577989,1,4180955.9159,852359.7247,4726108.1247,4180364.8740,851766.2083,4726109.0467,699.4447
165,1,159.857007,0.000000,0.000000,0,0,22.577989,1,4180958.0984,852360.1652,4726108.0984,4180364.1439,851766.0596,4726109.7148,709.5992
166,1,158.508173,0.000000,0.000000,0,0,22.577989,1,4180957.7701,852359.4093,4726107.1551,4180363.4138,851765.9108,4726110.3830,710.7176
167,1,161.777177,0.000000,0.000000,0,0,22.577989,1,4180955.0538,852356.3803,4726110.4313,4180362.6836,851765.7620,4726111.0511,705.3877
168,1,161.082182,0.000000,0.000000,0,0,22.577989,1,4180949.8526,852352.1736,4726107.5271,4180361.9535,851765.6133,4726111.7192,701.1121
169,1,139.335273,0.000000,0.000000,0,0,22.577989,1,4180944.1297,852349.4943,4726108.4036,4180361.2233,851765.4645,4726112.3874,711.4705
170,1,137.912737,0.000000,0.000000,0,0,22.577989,1,4180937.4830,852344.4556,4726109.0526,4180360.4932,851765.3157,4726113.0555,704.6583
171,1,119.264957,0.000000,0.000000,0,0,22.577989,1,4180931.2787,852340.9398,4726112.8270,4180359.7631,851765.1670,4726113.7236,716.2848
172,1,105.527876,0.000000,0.000000,0,0,22.577989,1,4180926.2894,852336.1267,4726112.4269,4180359.0329,851765.0182,4726114.3918,718.9373
173,1,113.473841,0.000000,0.000000,0,0,22.577989,1,4180917.7048,852330.1719,4726113.8753,4180358.3028,851764.8694,4726115.0599,702.7582
174,1,97.785331,0.000000,0.000000,0,0,22.577989,1,4180911.1429,852323.3560,4726115.7066,4180357.5726,851764.7207,4726115.7281,706.8345
175,1,83.711129,0.000000,0.000000,0,0,22.577989,1,4180905.1567,852317.0286,4726117.1472,4180356.8425,851764.5719,4726116.3962,710.0799
176,1,80.094005,0.000000,0.000000,0,0,22.577989,1,4180898.5884,852310.3099,4726119.7460,4180356.1124,851764.4231,4726117.0643,705.1415
177,1,60.661385,0.000000,0.000000,0,0,22.577989,1,4180892.2491,852306.1110,4726121.1874,4180355.3822,851764.2744,4726117.7325,713.4709
178,1,55.118388,0.000000,0.000000,0,0,22.577989,1,4180886.5250,852301.2651,4726121.0158,4180354.6521,851764.1256,4726118.4006,711.3971
179,1,53.035105,0.000000,0.000000,0,0,22.577989,1,4180880.9009,852295.3451,4726121.5488,4180353.9219,851763.9768,4726119.0687,705.1630
180,1,32.494598,0.000000,0.000000,0,0,22.577989,1,4180876.4686,852292.1204,4726122.7840,4180353.1918,851763.8280,4726119.7369,717.1347
181,1,49.046295,0.000000,0.000000,0,0,22.577989,1,4180870.7256,852286.4366,4726120.8150,4180352.4617,851763.6793,4726120.4050,700.4886
182,1,23.247151,0.000000,0.000000,0,0,22.577989,1,4180867.1261,852282.8486,4726121.9099,4180351.7315,851763.5305,4726121.0731,712.9094
183,1,21.029521,0.000000,0.000000,0,0,22.577989,1,4180863.4948,852279.2890,4726123.1002,4180351.0014,851763.3817,4726121.7413,710.3130
184,1,20.025448,0.000000,0.000000,0,0,22.577989,1,4180860.4604,852275.8290,4726122.3419,4180350.2712,851763.2330,4726122.4094,710.3129
185,1,17.953237,0.000000,0.000000,0,0,22.577989,1,4180857.9939,852273.7930,4726120.7968,4180349.5411,851763.0842,4726123.0775,715.5334
186,1,19.248369,0.000000,0.000000,0,0,22.577989,1,4180854.6868,852269.7352,4726122.3069,4180348.8110,851762.9354,4726123.7457,702.1643
187,1,14.415605,0.000000,0.000000,0,0,22.577989,1,4180851.6675,852268.5320,4726124.5823,4180348.0808,851762.7867,4726124.4138,711.3176
188,1,10.381034,0.000000,0.000000,0,0,22.577989,1,4180848.8062,852265.7827,4726124.4584,4180347.3507,851762.6379,4726125.0819,703.6969
189,1,8.700218,0.000000,0.000000,0,0,22.577989,1,4180847.2266,852262.9809,4726125.7697,4180346.6205,851762.4891,4726125.7501,705.8233
190,1,10.318030,0.000000,0.000000,0,0,22.577989,1,4180844.0126,852262.4006,4726127.0901,4180345.8904,851762.3404,4726126.4182,705.8828
191,1,3.774465,0.000000,0.000000,0,0,22.577989,1,4180841.3734,852260.2957,4726127.9079,4180345.1603,851762.1916,4726127.0863,700.0482
192,1,13.114607,0.000000,0.000000,0,0,22.577989,1,4180840.3775,852256.5815,4726128.7967,4180344.4301,851762.0428,4726127.7545,697.8442
193,1,20.550953,0.000000,0.000000,0,0,22.577989,1,4180840.6720,852255.5854,4726127.5624,4180343.7000,851761.8940,4726128.4226,711.1105
194,1,14.129505,0.000000,0.000000,0,0,22.577989,1,4180840.7020,852255.4527,4726128.5491,4180342.9698,851761.7453,4726129.0907,712.3706
