t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error,lambda_k
45,0,5.661191,1.026490,2.357900,0,0,11.703477,1,4180451.5239,851784.7905,4726028.9151,4180451.7598,851783.9117,4726029.5378,4.2843,1.000000
46,0,8.730459,2.795721,2.500870,0,0,11.474866,1,4180450.7034,851783.9369,4726029.4603,4180451.0296,851783.7629,4726030.2059,8.0173,1.000000
47,0,9.549852,1.220753,2.420998,0,0,11.255427,1,4180449.9308,851783.4683,4726030.7176,4180450.2995,851783.6141,4726030.8740,8.7792,1.000000
48,0,13.543768,6.798701,2.702798,0,0,11.044627,1,4180450.0611,851783.8562,4726031.3932,4180449.5694,851783.4654,4726031.5422,13.1126,1.000000
49,0,9.040507,1.952189,2.227830,0,0,10.841972,1,4180448.8521,851783.5830,4726031.5888,4180448.8393,851783.3166,4726032.2103,8.7792,1.000000
50,0,5.872421,1.283078,2.137791,0,0,10.647010,1,4180448.1734,851783.8403,4726032.2202,4180448.1091,851783.1678,4726032.8785,6.1320,1.000000
51,0,9.659911,3.431666,2.358804,0,0,10.459318,1,4180446.9043,851784.1330,4726032.9339,4180447.3790,851783.0191,4726033.5466,9.9883,1.000000
52,0,27.668526,9.586511,3.052010,0,0,10.278507,1,4180446.6902,851783.5787,4726035.3020,4180446.6489,851782.8703,4726034.2148,26.7186,1.000000
53,0,9.515189,1.942609,3.065536,0,0,10.104215,1,4180445.5095,851783.4173,4726036.4500,4180445.9187,851782.7215,4726034.8829,10.3701,1.000000
54,0,22.371612,9.827404,3.986512,0,0,9.936106,1,4180443.8743,851782.9286,4726035.9944,4180445.1886,851782.5728,4726035.5511,21.2475,1.000000
55,0,14.672401,5.162265,4.400090,0,1,9.773867,1,4180443.7931,851782.9772,4726036.0117,4180444.4585,851782.4240,4726036.2192,13.5406,1.000000
56,0,12.619956,4.684693,4.588987,0,1,48.461573,1,4180440.3000,851779.6542,4726037.2781,4180443.7284,851782.2752,4726036.8874,12.6653,6.966329
57,0,7.436605,0.907806,4.557692,0,1,46.799469,1,4180439.2891,851780.8738,4726036.1462,4180442.9982,851782.1265,4726037.5555,7.0631,1.335532
58,0,13.225732,4.382231,4.316045,0,0,46.403527,1,4180436.9329,851783.9841,4726038.7233,4180442.2681,851781.9777,4726038.2237,13.5548,1.366450
59,0,13.517983,1.899897,4.310816,0,0,36.786568,1,4180436.5450,851782.9211,4726042.5039,4180441.5380,851781.8289,4726038.8918,13.9078,1.000000
60,0,16.319331,5.725892,4.755097,0,1,30.722862,1,4180437.6256,851781.2255,4726045.5093,4180440.8079,851781.6802,4726039.5600,16.6804,1.000000
61,0,18.693759,2.645436,4.676474,0,1,68.598938,1,4180436.8687,851782.6217,4726037.9688,4180440.0777,851781.5314,4726040.2281,13.0315,3.910526
62,0,10.343378,1.003554,3.818179,0,0,48.739327,1,4180436.0217,851783.4336,4726035.3715,4180439.3476,851781.3826,4726040.8963,13.3356,1.000000
63,0,3.932011,0.465133,3.670431,0,0,38.263834,1,4180436.1928,851783.3117,4726035.6257,4180438.6175,851781.2339,4726041.5644,7.0548,1.000000
