counter,mode,seed,alpha,beta,residual_mean,residual_std
hpmcounter4,drift,test_seed_1,-0.09911115060366488,3.335386457537327e-05,9.919518433077e-18,0.007823137535242518
hpmcounter4,drift,test_seed_10,-0.7636976811933348,0.0002487237880053758,2.0869140703435073e-16,0.0061347113709825886
hpmcounter4,drift,test_seed_11,0.008143950890930845,-4.794752741533103e-05,-3.433679457603577e-18,0.009154796692802955
hpmcounter4,drift,test_seed_12,-0.140745589342673,-0.00023038609790565717,5.913559065872827e-18,0.003922040903914618
hpmcounter4,drift,test_seed_13,-0.10900603735221483,-1.192943747828991e-05,1.1636358161878789e-17,0.007700370481438818
hpmcounter4,drift,test_seed_14,0.5071375312116492,0.00043519326339610994,-9.270934535529658e-17,0.007876351242355192
hpmcounter4,drift,test_seed_15,0.5629204677465749,0.00011956148144173094,1.0110278402943865e-16,0.007053421278366815
hpmcounter4,drift,test_seed_16,0.5719978814752917,-0.00018455969777600255,-1.3963629794254546e-16,0.0053881076970790686
hpmcounter4,drift,test_seed_17,-0.1412253342007771,3.741145605312068e-05,8.965718583742673e-17,0.01254663707107627
hpmcounter4,drift,test_seed_18,-0.040224977319519725,-0.000189775765228573,-2.8613995480029806e-18,0.0035488611187769587
hpmcounter4,drift,test_seed_19,-0.13942513785322289,-0.00028420652053050017,-1.383009781534774e-17,0.004438177266256818
hpmcounter4,drift,test_seed_2,-0.08426075843260503,-0.0002892583874655802,5.1028291939386494e-18,0.004673358914999808
hpmcounter4,drift,test_seed_20,-0.7771618010921918,-0.0003995532107269977,-2.1594028588929161e-16,0.003172716634821799
hpmcounter4,drift,test_seed_3,0.5250979717651059,-0.0002767077949057213,-1.4249769749054845e-16,0.009225226505136668
hpmcounter4,drift,test_seed_4,0.5115425519205014,-0.0004396961966819298,-1.4364225730974964e-16,0.004576675320051281
hpmcounter4,drift,test_seed_5,0.58130083162508,-0.00010547838749226879,-9.42354251142315e-17,0.00419983718485558
hpmcounter4,drift,test_seed_6,-0.10340542026558049,-0.00020441660981070962,1.0301038372810731e-17,0.0072332564687428704
hpmcounter4,drift,test_seed_7,-0.068037347834842,-0.00010761765498171522,-1.4402377724948338e-17,0.005562875089106437
hpmcounter4,drift,test_seed_8,0.5025437817492899,-0.00011835269989245058,-2.2891196384023844e-16,0.00507016372721403
hpmcounter4,drift,test_seed_9,-0.7383857122954218,6.425923777296075e-05,7.401486830834377e-17,0.006382631854234768
hpmcounter4,jump,test_seed_1,-0.09275625518225288,-0.00023689480763196402,2.804171557042921e-17,0.011929311691249347
hpmcounter4,jump,test_seed_10,-0.09233309607733879,-9.78745387967232e-05,-1.7931437167485347e-17,0.005383911168550077
hpmcounter4,jump,test_seed_11,-0.06327212176725407,2.8964047521849953e-05,2.7850955600562346e-17,0.009986207538717826
hpmcounter4,jump,test_seed_12,0.5329003902320267,0.00017725399461166055,-4.196719337071038e-18,0.006086567293669529
hpmcounter4,jump,test_seed_13,0.5703246892931398,-7.173622338708373e-05,-1.6519813390470543e-16,0.004928207242827385
hpmcounter4,jump,test_seed_14,0.5663832431717064,0.00036393181225627424,-2.1365116625088924e-17,0.006586696752654195
hpmcounter4,jump,test_seed_15,-0.01959046370755249,0.00010899457615885945,7.248878854940885e-18,0.004234887836341227
hpmcounter4,jump,test_seed_16,-0.03763229984909083,-5.134081487465599e-05,-1.7168397288017885e-18,0.009402797909105172
hpmcounter4,jump,test_seed_17,-0.11143932918896031,0.0004378234492220871,2.756481564576205e-17,0.008300625000159574
hpmcounter4,jump,test_seed_18,-0.10167763877652178,-0.00011193874687395412,5.5320391261390965e-18,0.006738928686134858
hpmcounter4,jump,test_seed_19,-0.635390331368417,-0.00039035501142811046,2.1136204661248684e-16,0.005021160352913791
hpmcounter4,jump,test_seed_2,-0.09993573839914266,-0.0003469283294400799,-5.751413091485992e-17,0.005264500243742783
hpmcounter4,jump,test_seed_20,0.5504530034603605,-0.0005679731325506245,-1.0510874339664282e-16,0.005352650242667436
hpmcounter4,jump,test_seed_3,-0.14020505865852081,-0.00023473725788073296,3.052159517869846e-18,0.01163700962826268
hpmcounter4,jump,test_seed_4,0.5611381299784735,-0.0004355960094031431,-4.2920993220044713e-17,0.003289728829365431
hpmcounter4,jump,test_seed_5,-0.022780926524781232,-0.00010241423720868446,-5.722799096005961e-18,0.00721493601461257
hpmcounter4,jump,test_seed_6,-1.3881224429265944,0.000117722195362719,2.1288812637142178e-16,0.008904864417629846
hpmcounter4,jump,test_seed_7,0.5734099064319681,-2.5688058597386712e-06,-2.1403268619062297e-16,0.008498127605905329
hpmcounter4,jump,test_seed_8,-0.15325099568085443,-5.625173932072947e-05,4.3397893144711875e-17,0.003998975265802525
hpmcounter4,jump,test_seed_9,-0.10060372489881948,5.379863230375136e-05,4.005959367204173e-18,0.004670672632642137
hpmcounter4,replay,test_seed_1,-1.9950859383908566,8.182114711086807e-05,4.150936944302991e-16,0.006896756587877766
hpmcounter4,replay,test_seed_10,0.5489420112638942,-0.00016303198682778085,-9.690606469236762e-17,0.007438050510088287
hpmcounter4,replay,test_seed_11,-3.8681819977586414,0.00021646713413657243,1.3582109854520814e-15,0.010138977109427615
hpmcounter4,replay,test_seed_12,-0.15903453174520948,-0.00023515319032020333,1.6500737393483856e-17,0.005254128043345663
hpmcounter4,replay,test_seed_13,-0.1611419272482597,-0.0001297897629894933,4.6163912707781426e-17,0.00779638024391192
hpmcounter4,replay,test_seed_14,0.547534847587859,0.00018971287539267643,-2.899551541976354e-16,0.006817576263460974
hpmcounter4,replay,test_seed_15,0.5711760646804551,0.0001526777036727801,-2.8232475540296075e-17,0.004815978704190264
hpmcounter4,replay,test_seed_16,-1.4030104187274453,1.8872261232530455e-05,2.830877952824282e-16,0.003954356630642804
hpmcounter4,replay,test_seed_17,-0.11440677404869344,-2.036662558396813e-05,2.923396538209712e-17,0.004880051279539514
hpmcounter4,replay,test_seed_18,-0.1468707366196821,-8.916829818228471e-05,8.507894656062197e-17,0.00872570827676657
hpmcounter4,replay,test_seed_19,-0.16481819380032275,-0.0006464723091876846,-5.0837531969519623e-17,0.0037339628743044916
hpmcounter4,replay,test_seed_2,-0.12102868030947299,-0.0003832957189349621,-5.1075981931853204e-17,0.0020355630988566982
hpmcounter4,replay,test_seed_20,-0.6714037626928933,-0.0004230113231460806,2.0907292697408446e-16,0.011577919097316982
hpmcounter4,replay,test_seed_3,-0.06243714314833215,9.043194652380488e-05,2.863784047626317e-17,0.002481015972271282
hpmcounter4,replay,test_seed_4,0.5333099141212426,-0.0003120227259920321,-7.744854776594734e-17,0.007373155104869594
hpmcounter4,replay,test_seed_5,-0.744130201997455,-4.0599656745700996e-05,2.2509676444290116e-17,0.005607135647005041
hpmcounter4,replay,test_seed_6,-0.08940377871635215,6.937306188439755e-05,3.204767493763338e-17,0.005527884905494116
hpmcounter4,replay,test_seed_7,-0.08940377871635215,6.937306188439755e-05,3.204767493763338e-17,0.005527884905494116
hpmcounter4,replay,test_seed_8,-0.08940377871635215,6.937306188439755e-05,3.204767493763338e-17,0.005527884905494116
hpmcounter4,replay,test_seed_9,-0.08940377871635215,6.937306188439755e-05,3.204767493763338e-17,0.005527884905494116
hpmcounter5,normal,test_seed_1,-0.6329440505154152,0.0012446613828757636,1.251385402326637e-16,0.06297530893184927
hpmcounter5,normal,test_seed_10,0.8069777341089306,-0.00313901729781238,-2.0296860793834476e-16,0.06511431593469498
hpmcounter5,normal,test_seed_11,1.0251353895912456,-0.0009931022966619088,8.54604665003557e-17,0.1782219755922823
hpmcounter5,normal,test_seed_12,-1.191445415272042,0.0020194600488580624,1.6519813390470543e-16,0.058381399119045475
hpmcounter5,normal,test_seed_13,-0.3904167258693056,0.0014590988582074227,1.4955581637562247e-16,0.09485355672681153
hpmcounter5,normal,test_seed_14,0.2849309304730357,0.00027232171993951443,-7.630398794674616e-18,0.08135241870029186
hpmcounter5,normal,test_seed_15,-0.6667743939249813,-0.0014449680109364254,1.4345149733988278e-16,0.06443822864736988
hpmcounter5,normal,test_seed_16,1.672568490293333,-0.0033963270404135104,-7.050488486279344e-16,0.07873985372621432
hpmcounter5,normal,test_seed_17,-0.5419783288349241,-0.00033165116047404635,1.2208638071479384e-17,0.11281228067987316
hpmcounter5,normal,test_seed_18,-0.34176799431909805,-0.0015138983590615735,-6.104319035739692e-18,0.0831372045315882
hpmcounter5,normal,test_seed_19,2.798991844794532,-0.005883407069755548,-3.76941700456926e-16,0.08297417159846093
hpmcounter5,normal,test_seed_2,-0.8316161129116846,0.0016665093982983507,1.9839036866154e-17,0.07033762425520167
hpmcounter5,normal,test_seed_20,1.2062290009496541,-0.0003225660210112079,-1.8389261095165824e-16,0.07515492787143357
hpmcounter5,normal,test_seed_3,-0.2119212417099012,-0.0004477148159185134,4.578239276804769e-17,0.056349370811893985
hpmcounter5,normal,test_seed_4,0.285836784383257,-0.0021025879810563086,-1.6710573360337408e-16,0.08821613046847813
hpmcounter5,normal,test_seed_5,0.3492669681353632,0.011298509480333473,3.662591421443815e-16,0.23485984545514063
hpmcounter5,normal,test_seed_6,-0.2931036014508123,-0.0006748222835427474,2.1365116625088924e-17,0.06017157591580669
hpmcounter5,normal,test_seed_7,-0.33799171129695504,-0.0008071188038075001,-1.8312957107219077e-17,0.07831154487537302
hpmcounter5,normal,test_seed_8,-1.5753629793550965,-0.00020474477296888397,-2.319641233581083e-16,0.10751934586155688
hpmcounter5,normal,test_seed_9,-1.414614587269099,0.003301365024907764,2.8690299467976556e-16,0.09822729629726391
hpmcounter5,drift,test_seed_1,-2.4119188656839,0.002560110729611282,1.1170903835403637e-15,0.08626940243986268
hpmcounter5,drift,test_seed_10,0.08700918730268697,0.0012218401483196878,5.9517110598462e-17,0.10079255201811031
hpmcounter5,drift,test_seed_11,1.3180186888643213,-0.0036874603664427542,-2.6095963877787186e-16,0.08433291175766423
hpmcounter5,drift,test_seed_12,-0.7987641391280759,-0.000173817725008165,-1.1598206167905416e-16,0.1106125611227269
hpmcounter5,drift,test_seed_13,0.4941937497472143,-0.0032728771290178277,-1.5794925504976454e-16,0.07167656900134219
hpmcounter5,drift,test_seed_14,-2.024126634447914,-0.0005079509921541801,5.493887132165723e-17,0.09221093734430184
hpmcounter5,drift,test_seed_15,0.5722059143108598,-0.001441952085554528,3.052159517869846e-18,0.10514537808358218
hpmcounter5,drift,test_seed_16,-0.6925668479681752,0.0009179631562111527,3.6854826178278395e-16,0.06974143468705608
hpmcounter5,drift,test_seed_17,-1.8898718779943133,0.0020530745997653158,5.005541609306548e-16,0.212734041000159
hpmcounter5,drift,test_seed_18,-0.6410159468230096,0.0018703618420337542,1.6176445444710184e-16,0.08191386755806626
hpmcounter5,drift,test_seed_19,0.9005723101800056,-0.0013868477483864018,-1.251385402326637e-16,0.07813994977904286
hpmcounter5,drift,test_seed_2,0.7075061473621093,-0.006218692983295787,-4.0784481557535817e-16,0.04708464877660127
hpmcounter5,drift,test_seed_20,0.33114350136794507,-0.0015181277170296349,-1.0377342360757477e-16,0.08657294627836855
hpmcounter5,drift,test_seed_3,-0.2197780511429373,-0.002265326736979456,-1.3124285926840339e-16,0.12160173341793844
hpmcounter5,drift,test_seed_4,-0.6905469329721353,-0.0013471441386280958,-1.4039933782201292e-16,0.07748461826116015
hpmcounter5,drift,test_seed_5,-0.20395072641877937,-2.5509709005167326e-06,3.929655379257427e-17,0.05237598486133139
hpmcounter5,drift,test_seed_6,-0.529414715354494,0.00015014794115645404,3.204767493763338e-17,0.10719817264336781
hpmcounter5,drift,test_seed_7,-1.2171582116200699,0.00010087534162622411,1.526079758934923e-16,0.06433511697130069
hpmcounter5,drift,test_seed_8,-0.9683963845794439,0.00044991475905353865,6.104319035739692e-18,0.04470134168344601
hpmcounter5,drift,test_seed_9,-0.6321236551462874,-0.0009388861120970597,-6.409534987526676e-17,0.07911148455581184
hpmcounter5,jump,test_seed_1,-0.6185274446174344,-0.004175165020453226,-3.540505040729022e-16,0.16456681550315583
hpmcounter5,jump,test_seed_10,-1.4130111244865184,0.00033726708053879404,2.2891196384023846e-18,0.047234411131350844
hpmcounter5,jump,test_seed_11,-0.48650565962469355,-0.0025688109023940717,-1.0072126408970492e-16,0.0883543341764908
hpmcounter5,jump,test_seed_12,-0.4225004354047044,-0.003041735879677477,-1.510818961345574e-16,0.12479836159182064
hpmcounter5,jump,test_seed_13,0.18363050787962643,-0.004106774323965212,-3.3573754696568307e-16,0.05424355793819587
hpmcounter5,jump,test_seed_14,0.29651111245004497,-0.004600997590602727,-2.9758555299231e-16,0.10654939162327029
hpmcounter5,jump,test_seed_15,1.0607108266951124,-0.006658098910173551,-5.341279156272231e-16,0.13382026583071804
hpmcounter5,jump,test_seed_16,-0.31244248027624816,-0.0026379740294468815,1.3429501878627322e-16,0.1570000963468176
hpmcounter5,jump,test_seed_17,0.036653401748702505,-0.0018410169702906937,-1.8007741155432092e-16,0.09487538702821051
hpmcounter5,jump,test_seed_18,-0.3059356887495044,-0.0035318199910512015,-1.0682558312544462e-16,0.09690933568021609
hpmcounter5,jump,test_seed_19,1.5343545202409932,-0.005508165832831448,-6.089058238150343e-16,0.09101375338800036
hpmcounter5,jump,test_seed_2,-1.561567984015067,-0.0019088237932800953,9.385390517449777e-17,0.08438303466664866
hpmcounter5,jump,test_seed_20,2.4562119578547055,-0.0059014559492635175,-1.129299021611843e-15,0.13015568806828495
hpmcounter5,jump,test_seed_3,-1.5742676249607201,-0.0037340094904569953,1.3734717830414308e-16,0.15463879150383894
hpmcounter5,jump,test_seed_4,0.07374285009870016,-0.004329344556670117,-3.7236346118012124e-16,0.22331928367395604
hpmcounter5,jump,test_seed_5,-0.9020917368715359,-0.0016209128410531778,1.6023837468816692e-16,0.07071078053683659
