counter,mode,seed,alpha,beta,W,sigma_eps2,SE_beta,D
hpmcounter10,jump,test_seed_8,-0.3700256545273901,0.0001844056557498,291.0,0.008930484561232195,6.594641873458358e-05,2.796295224036087
hpmcounter10,jump,test_seed_11,-0.4363098689608146,0.0001289289532417,291.0,0.004703058509646695,4.7856826344928116e-05,2.6940556465747325
hpmcounter10,jump,test_seed_16,0.0145097580728327,-0.0001938257303163,291.0,0.05599316556206916,0.0001651281876352971,1.1737894849568897
hpmcounter10,replay,test_seed_16,-0.1805853256925496,-0.0030919597913073,291.0,0.018733833160001535,9.551399885987241e-05,32.37179710006155
hpmcounter10,replay,test_seed_4,-0.8610877620857369,0.0015124658820781,291.0,0.006237860934540431,5.5115220354180164e-05,27.441891230021877
hpmcounter10,replay,test_seed_5,-0.4720597300305141,0.0021333901482774,291.0,0.014033608074320622,8.266817984803173e-05,25.806666509401737
hpmcounter10,replay,test_seed_12,-0.0228777337166182,-0.0011665654219225,291.0,0.004833764976937171,4.851728267726222e-05,24.044327248962247
hpmcounter10,replay,test_seed_2,-1.137340835099591,-0.0033107566305676,291.0,0.0398614403220309,0.00013932536754375876,23.76276975926707
hpmcounter10,replay,test_seed_13,-0.4080610871863336,0.0013430163008872,291.0,0.010848594070445527,7.268427007862348e-05,18.47739957262338
hpmcounter10,replay,test_seed_14,-0.8584721619719161,0.0012237678243741,291.0,0.016977701346833556,9.092705993518489e-05,13.458785814106744
hpmcounter10,replay,test_seed_1,-0.2517225179651111,-0.0009622393274172,291.0,0.014639841559846028,8.443488032215359e-05,11.39623013316136
hpmcounter10,replay,test_seed_11,0.4758971770951132,-0.0014195268734189,291.0,0.03993325015907715,0.00013945080744226979,10.17940949539901
hpmcounter10,replay,test_seed_10,-0.3817326970266887,0.0005192985024349,291.0,0.0056320674283099606,5.2370609298946476e-05,9.915838470975103
hpmcounter10,replay,test_seed_3,-0.1557218667450269,0.0003466565491599,291.0,0.004168322188061471,4.505410262152033e-05,7.694228249800223
hpmcounter10,replay,test_seed_18,-0.3906082036174843,0.0004683995439831,291.0,0.007974150461997127,6.231547601403621e-05,7.5165845459897564
hpmcounter10,replay,test_seed_17,-0.7123349541758444,0.000396297527709,291.0,0.005915096691093803,5.367037477877917e-05,7.383915788598012
hpmcounter10,replay,test_seed_15,-0.9275737810572592,-0.000409334933126,291.0,0.0081047017351079,6.282351363636069e-05,6.515632594116593
hpmcounter10,replay,test_seed_6,-0.1782086777169886,0.0001993430825523,291.0,0.01250563777510709,7.80380891141535e-05,2.554433159693371
hpmcounter10,replay,test_seed_7,-0.1782086777169886,0.0001993430825523,291.0,0.01250563777510709,7.80380891141535e-05,2.554433159693371
hpmcounter10,replay,test_seed_8,-0.1782086777169886,0.0001993430825523,291.0,0.01250563777510709,7.80380891141535e-05,2.554433159693371
hpmcounter10,replay,test_seed_9,-0.1782086777169886,0.0001993430825523,291.0,0.01250563777510709,7.80380891141535e-05,2.554433159693371
hpmcounter10,replay,test_seed_19,-0.7256217713624392,0.0001231924441037,291.0,0.018882440618304634,9.58920863197873e-05,1.2846987570264103
hpmcounter10,replay,test_seed_20,0.2131800774693724,4.46114943832585e-05,291.0,0.005006080035264018,4.937448720923604e-05,0.9035333206440558
hpmcounter3,drift,test_seed_1,0.3760541992186682,0.0023694993148987,291.0,0.0015486433309752363,2.7461825751895156e-05,86.28338611955469
hpmcounter3,drift,test_seed_14,-0.0139501170463405,0.0023138370346702,291.0,0.0016594408553243295,2.8427233248475812e-05,81.39508387768484
hpmcounter3,drift,test_seed_6,0.0385820598818237,-0.0024603132390749,291.0,0.002349039389471791,3.382196637770609e-05,72.74305732550864
hpmcounter3,drift,test_seed_8,-0.0478626121906368,0.0022439979441334,291.0,0.002328702183368074,3.367523840753298e-05,66.63643823324587
hpmcounter3,drift,test_seed_19,0.4441236619375859,0.0015295046136473,291.0,0.0012523961247593047,2.469588314038669e-05,61.93358645862749
hpmcounter3,drift,test_seed_18,0.4776981710062426,-0.0015753990821557,291.0,0.0014595287649280544,2.6659993130863934e-05,59.09225386603272
hpmcounter3,drift,test_seed_2,0.4652182165575189,0.0013320488232565,291.0,0.0029576259135918664,3.7951183620678995e-05,35.09900604340277
hpmcounter3,drift,test_seed_7,0.3341351562576587,0.0011168494509407,291.0,0.0034609027840625433,4.105333129755795e-05,27.204843447312047
hpmcounter3,drift,test_seed_3,0.0543984344911451,0.0005897999805315,291.0,0.0021083017131641566,3.20420345731665e-05,18.407070224729924
hpmcounter3,drift,test_seed_11,0.8494532125232113,0.0005313072193498,291.0,0.00200962510382399,3.128320405130961e-05,16.983785243940122
hpmcounter3,drift,test_seed_4,0.2368017247090233,0.0003897518731321,291.0,0.0012654197951168715,2.482395731513721e-05,15.700634197209009
hpmcounter3,drift,test_seed_5,1.0987694896592508,0.0015232233898454,291.0,0.021225238912709235,0.00010166699742766624,14.982476402228155
hpmcounter3,drift,test_seed_20,-1.684448225263134,0.0006057827212372,291.0,0.004411352208928965,4.634891486858174e-05,13.070051865396277
hpmcounter3,drift,test_seed_17,0.5913266723713141,0.0004351421915737,291.0,0.003496843853431527,4.126594773858998e-05,10.54482485971782
hpmcounter3,drift,test_seed_10,-0.0716739499054788,0.0005680150807309,291.0,0.008540862636376597,6.449181097730865e-05,8.80755358119429
hpmcounter3,drift,test_seed_16,0.7146759298276797,-0.0002231084836924,291.0,0.0017205303825296161,2.8945754670818894e-05,7.707813675257966
hpmcounter3,drift,test_seed_12,-1.3744820862109524,-0.0001145299251679,291.0,0.0011580630092587856,2.3747604020936713e-05,4.822799178684571
hpmcounter3,drift,test_seed_9,0.3094867022455121,-0.0002465264970115,291.0,0.005502164075565612,5.1763123216629214e-05,4.762589304740829
hpmcounter3,drift,test_seed_13,1.1642833934932324,0.0001000832176246,291.0,0.0017647244004708423,2.9315151919998716e-05,3.4140439694028504
hpmcounter3,drift,test_seed_15,0.4141205517242039,-1.8800995920162745e-06,291.0,0.0033442074118765247,4.035527455906426e-05,0.046588695345500565
hpmcounter3,jump,test_seed_18,0.8988650389795421,-0.0017525926742526,291.0,0.0012344931057841056,2.451873378732691e-05,71.47973828723852
hpmcounter3,jump,test_seed_2,-0.0146064259156458,0.0011935705506402,291.0,0.0010816598042179156,2.2950864524884687e-05,52.005472357961075
hpmcounter3,jump,test_seed_14,-0.6264648953780365,0.0024919531177658,291.0,0.005785315516113144,5.3078327340918574e-05,46.948599223184836
hpmcounter3,jump,test_seed_13,0.5257566102130641,0.0012490862814479,291.0,0.0016585816533271622,2.8419872968687714e-05,43.951156390604254
hpmcounter3,jump,test_seed_5,1.574686077758788,-0.0011928983929176,291.0,0.001556910217447166,2.7535025831477304e-05,43.32294439157236
hpmcounter3,jump,test_seed_6,0.17961939613409,0.0010598189208774,291.0,0.0018293821794883145,2.9847360147682002e-05,35.50796169689759
hpmcounter3,jump,test_seed_19,0.9235355324771783,-0.0016387843640677,291.0,0.005502630753236032,5.176531836941102e-05,31.657959724557294
hpmcounter3,jump,test_seed_4,0.7182631054887006,0.0005591451975786,291.0,0.0014894918029657379,2.6932257779418863e-05,20.761170569438427
hpmcounter3,jump,test_seed_1,0.7949318678524239,0.0004450973579801,291.0,0.001199076611683922,2.4164464195890386e-05,18.419500402404825
hpmcounter3,jump,test_seed_9,0.3346692937980929,-0.0007272853296696,291.0,0.004692479833560114,4.780297342453023e-05,15.214227851700779
hpmcounter3,jump,test_seed_20,-1.938720596832172,0.0002804872692682,291.0,0.0015915028434525572,2.783924245285858e-05,10.075247907451558
hpmcounter3,jump,test_seed_12,1.1995939353810547,0.0003919453653629,291.0,0.0032428092295683133,3.973876848376828e-05,9.863047606092632
hpmcounter3,jump,test_seed_3,0.2951844423689995,0.000338933335167,291.0,0.0024553414647784156,3.457877891359891e-05,9.801772816035056
hpmcounter3,jump,test_seed_7,1.6947343491430846,-0.0008138251940202,291.0,0.018680951390334447,9.537909537448303e-05,8.532532111202265
hpmcounter3,jump,test_seed_16,0.4426855329140967,0.0003933433959605,291.0,0.006542504685383077,5.644503218649136e-05,6.968609649488984
hpmcounter3,jump,test_seed_10,0.770086405668204,-0.0003281084356207,291.0,0.004892685399954806,4.8812083958485136e-05,6.7218690334909175
hpmcounter3,jump,test_seed_11,0.7713476509003309,0.0001311875144855,291.0,0.001041894203478822,2.252503709117896e-05,5.824075403492872
hpmcounter3,jump,test_seed_8,0.4563983527378049,-7.31642033504064e-05,291.0,0.0023145266189332483,3.357258590767354e-05,2.1792841204312348
hpmcounter3,jump,test_seed_15,0.9898721060454956,2.772712499251949e-05,291.0,0.0036823525893988395,4.234638961814495e-05,0.6547695150058018
hpmcounter3,jump,test_seed_17,1.109731815915868,6.363036001199251e-06,291.0,0.0012929151661410564,2.509219874677425e-05,0.2535862267557265
hpmcounter3,replay,test_seed_3,-0.030055938934404,0.0014231652867191,291.0,0.00031132661270727457,1.2312941811638607e-05,115.58288088179513
hpmcounter3,replay,test_seed_18,-1.6299600175772382,0.0024227577076696,291.0,0.0028080960172249215,3.6979384697552994e-05,65.51644186307728
hpmcounter3,replay,test_seed_4,0.3361136856566646,-0.0022053170973766,291.0,0.0034575764753152034,4.103359816856617e-05,53.744180276785606
hpmcounter3,replay,test_seed_19,0.6908100018948192,-0.0025663191092002,291.0,0.00870949542046093,6.512536966007871e-05,39.405827906929055
hpmcounter3,replay,test_seed_16,-0.6813196119724557,-0.0013681087216558,291.0,0.0030038194349462774,3.824640462418482e-05,35.77091062804599
hpmcounter3,replay,test_seed_2,0.286303933010446,-0.0013612205790094,291.0,0.0047219532989613315,4.795286366364402e-05,28.38663794006997
hpmcounter3,replay,test_seed_6,0.7216390049092549,0.0012763576030121,291.0,0.006177495986604852,5.4847891882752654e-05,23.27085981245271
hpmcounter3,replay,test_seed_7,0.7216390049092549,0.0012763576030121,291.0,0.006177495986604852,5.4847891882752654e-05,23.27085981245271
hpmcounter3,replay,test_seed_8,0.7216390049092549,0.0012763576030121,291.0,0.006177495986604852,5.4847891882752654e-05,23.27085981245271
hpmcounter3,replay,test_seed_9,0.7216390049092549,0.0012763576030121,291.0,0.006177495986604852,5.4847891882752654e-05,23.27085981245271
hpmcounter3,replay,test_seed_11,0.8158692904035416,0.0007323039434493,291.0,0.003055731418036688,3.8575475989304343e-05,18.98366577906499
hpmcounter3,replay,test_seed_12,-1.5169465642455366,0.0003556626014108,291.0,0.0017392119178127508,2.91024770361454e-05,12.221042249052049
