counter,mode,seed,exceed_count,cusum_max
hpmcounter8,jump,seed13,134,207.81774935098406
hpmcounter8,jump,seed14,139,396.8720502713415
hpmcounter8,jump,seed15,294,1075.210850425653
hpmcounter8,jump,seed16,141,270.8766542963611
hpmcounter8,jump,seed17,280,541.4849961081715
hpmcounter8,jump,seed18,136,303.49934692608525
hpmcounter8,jump,seed19,141,205.3004531202166
hpmcounter8,jump,seed2,137,225.03988209482586
hpmcounter8,jump,seed20,172,366.61715758639707
hpmcounter8,jump,seed3,138,193.04231343032907
hpmcounter8,jump,seed4,137,349.8054488790292
hpmcounter8,jump,seed5,274,642.935272669217
hpmcounter8,jump,seed6,143,332.9747422692181
hpmcounter8,jump,seed7,138,181.52165803490595
hpmcounter8,jump,seed8,149,446.7768381250149
hpmcounter8,jump,seed9,137,303.4619755937957
hpmcounter8,normal,seed1,1,0.7122108234393707
hpmcounter8,normal,seed10,0,0.0
hpmcounter8,normal,seed11,32,35.509715705114594
hpmcounter8,normal,seed12,148,128.33182958908708
hpmcounter8,normal,seed13,0,0.7324467489660105
hpmcounter8,normal,seed14,1,28.508826167517373
hpmcounter8,normal,seed15,294,644.7612137663172
hpmcounter8,normal,seed16,2,1.965326905177343
hpmcounter8,normal,seed17,133,197.5051094457391
hpmcounter8,normal,seed18,0,0.0
hpmcounter8,normal,seed19,3,5.162796115148076
hpmcounter8,normal,seed2,0,0.0
hpmcounter8,normal,seed20,29,43.45041627227631
hpmcounter8,normal,seed3,0,0.0
hpmcounter8,normal,seed4,1,1.0749671795807756
hpmcounter8,normal,seed5,163,198.84339354920706
hpmcounter8,normal,seed6,0,3.8940764354143966
hpmcounter8,normal,seed7,1,0.8231358380013619
hpmcounter8,normal,seed8,1,16.13513377644567
hpmcounter8,normal,seed9,0,2.0493518623686935
hpmcounter9,drift,seed1,241,251.92669812882156
hpmcounter9,drift,seed10,0,0.0
hpmcounter9,drift,seed11,12,10.93187152947021
hpmcounter9,drift,seed12,0,2.6178049376823846
hpmcounter9,drift,seed13,101,105.02035130212664
hpmcounter9,drift,seed14,66,59.321403911364335
hpmcounter9,drift,seed15,0,0.0
hpmcounter9,drift,seed16,128,135.74418349261214
hpmcounter9,drift,seed17,0,2.6178049376823846
hpmcounter9,drift,seed18,165,164.37289054559193
hpmcounter9,drift,seed19,0,0.0
hpmcounter9,drift,seed2,36,37.68515854385063
hpmcounter9,drift,seed20,50,51.01388737177944
hpmcounter9,drift,seed3,16,20.271458541917546
hpmcounter9,drift,seed4,0,0.0
hpmcounter9,drift,seed5,0,0.0
hpmcounter9,drift,seed6,185,177.35731423666928
hpmcounter9,drift,seed7,37,58.281035118776614
hpmcounter9,drift,seed8,0,0.0
hpmcounter9,drift,seed9,0,0.0
hpmcounter9,jump,seed1,0,0.0
hpmcounter9,jump,seed10,49,78.73089664300467
hpmcounter9,jump,seed11,12,10.93187152947021
hpmcounter9,jump,seed12,0,0.0
hpmcounter9,jump,seed13,192,308.7189059086166
hpmcounter9,jump,seed14,221,304.5502269673822
hpmcounter9,jump,seed15,0,2.6178049376823846
hpmcounter9,jump,seed16,75,158.625534364606
hpmcounter9,jump,seed17,27,26.92239139976364
hpmcounter9,jump,seed18,233,399.0418760529901
hpmcounter9,jump,seed19,62,74.37075405631751
hpmcounter9,jump,seed2,29,27.329963735978108
hpmcounter9,jump,seed20,0,0.0
hpmcounter9,jump,seed3,0,0.0
hpmcounter9,jump,seed4,279,928.0672060831643
hpmcounter9,jump,seed5,0,6.634208018951266
hpmcounter9,jump,seed6,0,0.031193978589169058
hpmcounter9,jump,seed7,60,64.9095830873868
hpmcounter9,jump,seed8,0,0.0
hpmcounter9,jump,seed9,12,22.299773891739562
hpmcounter9,normal,seed1,0,2.6178049376823846
hpmcounter9,normal,seed10,264,542.0842075952644
hpmcounter9,normal,seed11,0,0.0
hpmcounter9,normal,seed12,50,53.816894074063526
hpmcounter9,normal,seed13,0,2.6178049376823846
hpmcounter9,normal,seed14,76,88.23188968003629
hpmcounter9,normal,seed15,0,0.0
hpmcounter9,normal,seed16,138,177.3451275047223
hpmcounter9,normal,seed17,0,2.6178049376823846
hpmcounter9,normal,seed18,0,0.05167728436794394
hpmcounter9,normal,seed19,0,0.0
hpmcounter9,normal,seed2,0,0.0
hpmcounter9,normal,seed20,82,86.8376974071925
hpmcounter9,normal,seed3,0,0.0
hpmcounter9,normal,seed4,21,40.30577514844941
hpmcounter9,normal,seed5,0,0.0
hpmcounter9,normal,seed6,119,161.2022497831921
hpmcounter9,normal,seed7,77,77.99676247960976
hpmcounter9,normal,seed8,0,0.0
hpmcounter9,normal,seed9,42,71.72672854844025
