mode,seed,counter,z_flag,d_flag,v_flag
jump,seed17,hpmcounter5,True,False,False
jump,seed17,hpmcounter6,False,False,False
jump,seed17,hpmcounter7,False,False,False
jump,seed17,hpmcounter8,True,True,False
jump,seed17,hpmcounter9,False,False,False
jump,seed18,hpmcounter10,False,True,False
jump,seed18,hpmcounter3,False,True,False
jump,seed18,hpmcounter4,False,True,False
jump,seed18,hpmcounter5,False,True,False
jump,seed18,hpmcounter6,False,False,True
jump,seed18,hpmcounter7,False,False,False
jump,seed18,hpmcounter8,False,True,False
jump,seed18,hpmcounter9,True,False,True
jump,seed19,hpmcounter10,False,True,False
jump,seed19,hpmcounter3,False,True,False
jump,seed19,hpmcounter4,False,True,False
jump,seed19,hpmcounter5,False,True,False
jump,seed19,hpmcounter6,True,False,True
jump,seed19,hpmcounter7,False,False,False
jump,seed19,hpmcounter8,False,True,False
jump,seed19,hpmcounter9,False,False,False
jump,seed2,hpmcounter10,False,True,False
jump,seed2,hpmcounter3,False,True,False
jump,seed2,hpmcounter4,False,True,False
jump,seed2,hpmcounter5,False,True,False
jump,seed2,hpmcounter6,False,False,False
jump,seed2,hpmcounter7,False,False,False
jump,seed2,hpmcounter8,False,True,False
jump,seed2,hpmcounter9,False,False,False
jump,seed20,hpmcounter10,True,True,True
jump,seed20,hpmcounter3,True,True,False
jump,seed20,hpmcounter4,True,True,True
jump,seed20,hpmcounter5,True,True,False
jump,seed20,hpmcounter6,False,False,False
jump,seed20,hpmcounter7,False,False,False
jump,seed20,hpmcounter8,True,True,False
jump,seed20,hpmcounter9,False,False,False
jump,seed3,hpmcounter10,False,True,False
jump,seed3,hpmcounter3,False,True,False
jump,seed3,hpmcounter4,False,True,False
jump,seed3,hpmcounter5,False,True,False
jump,seed3,hpmcounter6,False,False,False
jump,seed3,hpmcounter7,False,False,False
jump,seed3,hpmcounter8,False,True,False
jump,seed3,hpmcounter9,False,False,False
jump,seed4,hpmcounter10,True,True,False
jump,seed4,hpmcounter3,True,True,False
jump,seed4,hpmcounter4,True,True,False
jump,seed4,hpmcounter5,True,True,False
jump,seed4,hpmcounter6,False,False,False
jump,seed4,hpmcounter7,False,False,False
jump,seed4,hpmcounter8,True,True,False
jump,seed4,hpmcounter9,True,False,True
jump,seed5,hpmcounter10,True,True,False
jump,seed5,hpmcounter3,True,False,False
jump,seed5,hpmcounter4,True,False,False
jump,seed5,hpmcounter5,True,False,False
jump,seed5,hpmcounter6,False,False,False
jump,seed5,hpmcounter7,False,False,False
jump,seed5,hpmcounter8,True,True,False
jump,seed5,hpmcounter9,False,False,False
jump,seed6,hpmcounter10,False,True,False
jump,seed6,hpmcounter3,False,True,False
jump,seed6,hpmcounter4,False,True,False
jump,seed6,hpmcounter5,True,True,False
jump,seed6,hpmcounter6,True,False,False
jump,seed6,hpmcounter7,False,False,False
jump,seed6,hpmcounter8,False,True,False
jump,seed6,hpmcounter9,False,False,False
jump,seed7,hpmcounter10,False,True,False
jump,seed7,hpmcounter3,False,True,False
jump,seed7,hpmcounter4,False,True,False
jump,seed7,hpmcounter5,False,True,False
jump,seed7,hpmcounter6,False,False,False
jump,seed7,hpmcounter7,False,False,False
jump,seed7,hpmcounter8,False,True,False
jump,seed7,hpmcounter9,False,False,False
