counter,attack_type,seed,scenario,TP,FP,FN,TN,n_windows,precision,recall,f1,false_alarm
hpmcounter3,jump,seed12,II,7,5,142,135,289,0.5833,0.047,0.087,0.0357
hpmcounter3,jump,seed13,II,13,0,136,140,289,1.0,0.0872,0.1605,0.0
hpmcounter3,jump,seed14,II,8,0,141,140,289,1.0,0.0537,0.1019,0.0
hpmcounter3,jump,seed15,II,9,0,140,140,289,1.0,0.0604,0.1139,0.0
hpmcounter3,jump,seed16,II,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter3,jump,seed17,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter3,jump,seed18,II,16,0,133,140,289,1.0,0.1074,0.1939,0.0
hpmcounter3,jump,seed19,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter3,jump,seed20,II,8,0,141,140,289,1.0,0.0537,0.1019,0.0
hpmcounter3,jump,seed1,I,25,0,124,140,289,1.0,0.1678,0.2874,0.0
hpmcounter3,jump,seed2,I,29,1,120,139,289,0.9667,0.1946,0.324,0.0071
hpmcounter3,jump,seed3,I,21,2,128,138,289,0.913,0.1409,0.2442,0.0143
hpmcounter3,jump,seed4,I,38,2,111,138,289,0.95,0.255,0.4021,0.0143
hpmcounter3,jump,seed5,I,33,1,116,139,289,0.9706,0.2215,0.3607,0.0071
hpmcounter3,jump,seed6,I,29,12,120,128,289,0.7073,0.1946,0.3053,0.0857
hpmcounter3,jump,seed7,I,25,0,124,140,289,1.0,0.1678,0.2874,0.0
hpmcounter3,jump,seed8,I,27,12,122,128,289,0.6923,0.1812,0.2872,0.0857
hpmcounter3,jump,seed9,I,30,1,119,139,289,0.9677,0.2013,0.3333,0.0071
hpmcounter3,jump,seed10,I,43,1,106,139,289,0.9773,0.2886,0.4456,0.0071
hpmcounter3,jump,seed11,I,25,1,124,139,289,0.9615,0.1678,0.2857,0.0071
hpmcounter3,jump,seed12,I,38,17,111,123,289,0.6909,0.255,0.3725,0.1214
hpmcounter3,jump,seed13,I,34,0,115,140,289,1.0,0.2282,0.3716,0.0
hpmcounter3,jump,seed14,I,30,2,119,138,289,0.9375,0.2013,0.3315,0.0143
hpmcounter3,jump,seed15,I,26,0,123,140,289,1.0,0.1745,0.2971,0.0
hpmcounter3,jump,seed16,I,26,0,123,140,289,1.0,0.1745,0.2971,0.0
hpmcounter3,jump,seed17,I,17,0,132,140,289,1.0,0.1141,0.2048,0.0
hpmcounter3,jump,seed18,I,38,1,111,139,289,0.9744,0.255,0.4043,0.0071
hpmcounter3,jump,seed19,I,22,3,127,137,289,0.88,0.1477,0.2529,0.0214
hpmcounter3,jump,seed20,I,31,3,118,137,289,0.9118,0.2081,0.3388,0.0214
hpmcounter4,drift,seed1,III,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter4,drift,seed2,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed3,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed4,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed5,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed6,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed7,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed8,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter4,drift,seed9,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed10,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter4,drift,seed11,III,4,0,145,140,289,1.0,0.0268,0.0523,0.0
hpmcounter4,drift,seed12,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed13,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed14,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter4,drift,seed15,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed16,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed17,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed18,III,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter4,drift,seed19,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed20,III,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed1,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter4,drift,seed2,II,4,0,145,140,289,1.0,0.0268,0.0523,0.0
hpmcounter4,drift,seed3,II,7,0,142,140,289,1.0,0.047,0.0897,0.0
hpmcounter4,drift,seed4,II,4,0,145,140,289,1.0,0.0268,0.0523,0.0
hpmcounter4,drift,seed5,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter4,drift,seed6,II,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter4,drift,seed7,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter4,drift,seed8,II,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter4,drift,seed9,II,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter4,drift,seed10,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter4,drift,seed11,II,11,0,138,140,289,1.0,0.0738,0.1375,0.0
hpmcounter4,drift,seed12,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter4,drift,seed13,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter4,drift,seed14,II,6,0,143,140,289,1.0,0.0403,0.0774,0.0
hpmcounter4,drift,seed15,II,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed16,II,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed17,II,1,0,148,140,289,1.0,0.0067,0.0133,0.0
hpmcounter4,drift,seed18,II,7,0,142,140,289,1.0,0.047,0.0897,0.0
hpmcounter4,drift,seed19,II,2,0,147,140,289,1.0,0.0134,0.0265,0.0
hpmcounter4,drift,seed20,II,0,0,149,140,289,,0.0,0.0,0.0
hpmcounter4,drift,seed1,I,13,0,136,140,289,1.0,0.0872,0.1605,0.0
hpmcounter4,drift,seed2,I,9,0,140,140,289,1.0,0.0604,0.1139,0.0
hpmcounter4,drift,seed3,I,16,1,133,139,289,0.9412,0.1074,0.1928,0.0071
hpmcounter4,drift,seed4,I,13,0,136,140,289,1.0,0.0872,0.1605,0.0
hpmcounter4,drift,seed5,I,10,0,139,140,289,1.0,0.0671,0.1258,0.0
hpmcounter4,drift,seed6,I,12,0,137,140,289,1.0,0.0805,0.1491,0.0
hpmcounter4,drift,seed7,I,16,0,133,140,289,1.0,0.1074,0.1939,0.0
hpmcounter4,drift,seed8,I,14,0,135,140,289,1.0,0.094,0.1718,0.0
hpmcounter4,drift,seed9,I,5,0,144,140,289,1.0,0.0336,0.0649,0.0
hpmcounter4,drift,seed10,I,14,0,135,140,289,1.0,0.094,0.1718,0.0
hpmcounter4,drift,seed11,I,29,0,120,140,289,1.0,0.1946,0.3258,0.0
hpmcounter4,drift,seed12,I,15,0,134,140,289,1.0,0.1007,0.1829,0.0
