counter,mode,seed,exceed_count,cusum_max,h_count,h_cusum,count_flag,cusum_flag,flag_or
hpmcounter10,jump,seed17,280,554.4749508572046,170.50000000000009,226.6251040466529,True,True,True
hpmcounter10,jump,seed18,136,311.68388566961715,170.50000000000009,226.6251040466529,False,True,True
hpmcounter10,jump,seed19,143,214.69314827568095,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,jump,seed2,137,229.49213423360737,170.50000000000009,226.6251040466529,False,True,True
hpmcounter10,jump,seed20,169,357.5146927350126,170.50000000000009,226.6251040466529,False,True,True
hpmcounter10,jump,seed3,138,197.39038708993718,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,jump,seed4,136,352.37457546369353,170.50000000000009,226.6251040466529,False,True,True
hpmcounter10,jump,seed5,273,643.0851023370582,170.50000000000009,226.6251040466529,True,True,True
hpmcounter10,jump,seed6,143,335.6252969618066,170.50000000000009,226.6251040466529,False,True,True
hpmcounter10,jump,seed7,138,188.0702409506134,170.50000000000009,226.6251040466529,False,False,False
hpmcounter10,jump,seed8,148,446.8669309290482,170.50000000000009,226.6251040466529,False,True,True
hpmcounter10,jump,seed9,137,305.01665596013834,170.50000000000009,226.6251040466529,False,True,True
hpmcounter3,drift,seed1,24,16.39534259493281,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed10,0,0.16000384774311005,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed11,130,248.24181982248888,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed12,173,279.1007224795281,221.80000000000007,265.8520357952963,False,True,True
hpmcounter3,drift,seed13,1,0.8039100406634458,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed14,77,63.29545972321008,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed15,294,633.3090211392407,221.80000000000007,265.8520357952963,True,True,True
hpmcounter3,drift,seed16,0,0.0,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed17,265,281.42903703392545,221.80000000000007,265.8520357952963,True,True,True
hpmcounter3,drift,seed18,0,0.48195694420327795,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed19,4,6.218388427111145,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed2,0,0.48195694420327795,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed20,92,147.0615820043936,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed3,0,28.261155295154598,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed4,0,0.6627365440094467,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed5,277,353.8602493738117,221.80000000000007,265.8520357952963,True,True,True
hpmcounter3,drift,seed6,1,7.170914905775284,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed7,30,46.19809840254566,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed8,136,188.83971983121927,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,drift,seed9,0,15.345133845095118,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,jump,seed1,48,82.24869445289201,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,jump,seed10,133,301.6801195650043,221.80000000000007,265.8520357952963,False,True,True
hpmcounter3,jump,seed11,146,410.27427653845893,221.80000000000007,265.8520357952963,False,True,True
hpmcounter3,jump,seed12,181,545.1500066859684,221.80000000000007,265.8520357952963,False,True,True
hpmcounter3,jump,seed13,133,190.8958083776326,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,jump,seed14,138,370.20824388835894,221.80000000000007,265.8520357952963,False,True,True
hpmcounter3,jump,seed15,294,1074.8344792359073,221.80000000000007,265.8520357952963,True,True,True
hpmcounter3,jump,seed16,138,252.83518376804847,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,jump,seed17,278,511.76916122476825,221.80000000000007,265.8520357952963,True,True,True
hpmcounter3,jump,seed18,135,287.9353847863759,221.80000000000007,265.8520357952963,False,True,True
hpmcounter3,jump,seed19,142,214.4102639749168,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,jump,seed2,136,209.19474808110942,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,jump,seed20,192,429.79022581241486,221.80000000000007,265.8520357952963,False,True,True
hpmcounter3,jump,seed3,137,178.347933125697,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,jump,seed4,135,329.1482616230573,221.80000000000007,265.8520357952963,False,True,True
hpmcounter3,jump,seed5,277,675.8638973018301,221.80000000000007,265.8520357952963,True,True,True
hpmcounter3,jump,seed6,143,322.2289948038498,221.80000000000007,265.8520357952963,False,True,True
hpmcounter3,jump,seed7,137,171.8110140223547,221.80000000000007,265.8520357952963,False,False,False
hpmcounter3,jump,seed8,148,418.23627729124644,221.80000000000007,265.8520357952963,False,True,True
hpmcounter3,jump,seed9,136,283.68475560780996,221.80000000000007,265.8520357952963,False,True,True
hpmcounter4,drift,seed1,22,15.342750878807777,226.55000000000004,269.7922456110586,False,False,False
hpmcounter4,drift,seed10,0,0.0,226.55000000000004,269.7922456110586,False,False,False
hpmcounter4,drift,seed11,129,242.38682061831304,226.55000000000004,269.7922456110586,False,False,False
hpmcounter4,drift,seed12,166,272.70637547058965,226.55000000000004,269.7922456110586,False,True,True
hpmcounter4,drift,seed13,0,0.0,226.55000000000004,269.7922456110586,False,False,False
hpmcounter4,drift,seed14,73,59.694039516822464,226.55000000000004,269.7922456110586,False,False,False
hpmcounter4,drift,seed15,294,632.7843164871903,226.55000000000004,269.7922456110586,True,True,True
hpmcounter4,drift,seed16,0,0.0,226.55000000000004,269.7922456110586,False,False,False
hpmcounter4,drift,seed17,265,277.55387270683707,226.55000000000004,269.7922456110586,True,True,True
hpmcounter4,drift,seed18,0,0.0,226.55000000000004,269.7922456110586,False,False,False
hpmcounter4,drift,seed19,4,5.850346324334881,226.55000000000004,269.7922456110586,False,False,False
hpmcounter4,drift,seed2,0,0.0,226.55000000000004,269.7922456110586,False,False,False
hpmcounter4,drift,seed20,94,154.33287734964594,226.55000000000004,269.7922456110586,False,False,False
hpmcounter4,drift,seed3,0,28.416609938446936,226.55000000000004,269.7922456110586,False,False,False
hpmcounter4,drift,seed4,0,0.39894691798678883,226.55000000000004,269.7922456110586,False,False,False
