t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
88,0,12.714814,1.510203,1.770860,0,0,22.577975,1,4180421.6594,851778.7414,4726059.6684,4180420.3642,851777.5147,4726058.2681,10.0284
89,0,11.476380,1.448629,1.784133,0,0,22.577978,1,4180421.7492,851778.6064,4726058.8812,4180419.6341,851777.3659,4726058.9362,10.7893
90,0,11.705009,2.784570,1.969672,0,0,22.577982,1,4180421.2578,851777.0831,4726058.3029,4180418.9040,851777.2172,4726059.6044,11.2145
91,0,7.823815,1.985295,2.113042,0,0,22.577986,1,4180420.6851,851775.4808,4726059.0263,4180418.1739,851777.0684,4726060.2725,8.0518
92,0,12.454780,4.395404,2.285920,0,0,22.577990,1,4180418.4856,851776.1096,4726058.7487,4180417.4437,851776.9196,4726060.9406,10.5888
93,0,6.666178,1.478648,2.355549,0,0,22.577994,1,4180417.8015,851774.6488,4726059.0538,4180416.7136,851776.7709,4726061.6088,8.3137
94,0,16.657172,3.310084,2.452653,0,0,22.577998,1,4180417.7989,851775.1046,4726057.4276,4180415.9835,851776.6221,4726062.2769,19.1235
95,0,6.844295,1.532157,2.194438,0,0,22.578000,1,4180417.6966,851775.9138,4726057.9064,4180415.2533,851776.4733,4726062.9451,7.4445
96,0,7.909616,1.599406,2.279166,0,0,22.578003,1,4180417.9665,851774.8717,4726058.8057,4180414.5232,851776.3246,4726063.6132,8.8871
97,0,19.780203,5.197511,2.524191,0,0,22.578005,1,4180417.8461,851776.0695,4726061.5121,4180413.7931,851776.1758,4726064.2814,15.4210
98,0,14.872293,6.317930,3.004963,0,0,22.578006,1,4180415.6414,851774.3425,4726062.9226,4180413.0629,851776.0270,4726064.9495,11.1572
99,0,14.595111,4.352180,3.295318,0,0,22.578006,1,4180413.2525,851774.2654,4726062.0846,4180412.3328,851775.8783,4726065.6176,14.6932
100,0,11.793552,2.548623,3.271724,0,0,22.578007,1,4180413.2777,851775.0401,4726063.7824,4180411.6027,851775.7295,4726066.2858,8.6754
101,0,1.905074,0.119596,3.085154,0,0,22.578006,1,4180412.2852,851775.0458,4726064.2934,4180410.8725,851775.5807,4726066.9539,2.9857
102,0,7.594989,0.595220,2.705135,0,0,22.578006,1,4180411.6481,851775.2218,4726065.8203,4180410.1424,851775.4320,4726067.6221,5.1309
103,0,11.343749,3.812002,2.938471,0,0,22.578005,1,4180410.2656,851776.8601,4726067.0601,4180409.4123,851775.2832,4726068.2902,10.1332
104,0,10.907115,2.597827,2.867245,0,0,22.578004,1,4180410.5995,851777.8030,4726066.7307,4180408.6821,851775.1344,4726068.9584,13.0446
105,0,11.037588,4.063127,3.120342,0,0,22.578003,1,4180408.0394,851778.5534,4726067.1200,4180407.9520,851774.9857,4726069.6265,11.2096
106,0,6.532322,1.064406,3.066842,0,0,22.578002,1,4180407.2599,851777.8157,4726068.2167,4180407.2219,851774.8369,4726070.2946,1.8858
107,0,7.402126,1.697559,2.716847,0,0,22.578000,1,4180405.3436,851777.2488,4726068.5045,4180406.4917,851774.6881,4726070.9628,7.5600
108,0,18.036086,8.128857,2.897940,0,0,22.577999,1,4180404.6199,851774.6791,4726070.5162,4180405.7616,851774.5394,4726071.6309,14.2727
109,0,11.135007,3.219525,2.784674,0,0,22.577998,1,4180404.2288,851772.8856,4726070.3869,4180405.0315,851774.3906,4726072.2991,11.4547
110,0,5.363032,0.879156,2.617728,0,0,22.577997,1,4180403.5482,851773.3964,4726071.2808,4180404.3014,851774.2418,4726072.9672,3.1478
111,0,11.445571,2.710740,2.876842,0,0,22.577996,1,4180404.1009,851773.3101,4726070.8412,4180403.5712,851774.0931,4726073.6354,12.1616
112,0,6.873574,1.335716,2.950892,0,0,22.577995,1,4180402.6696,851773.8824,4726070.9908,4180402.8411,851773.9443,4726074.3035,7.9294
113,0,11.554932,2.348121,2.804504,0,0,22.577994,1,4180402.6826,851774.6433,4726072.7674,4180402.1110,851773.7955,4726074.9716,8.8512
