HPM3 configured with mask 0
x4001
HPM4 configured with mask 0x8001
HPM5 configured with mask 0x2001
HPM6 configured with mask 0x2000
HPM7 configured with mask 0x10000
HPM8 configured with mask 0x0801
HPM9 configured with mask 0x8000
HPM10 configured with mask 0x0101
Start
Stop
DIAG_START
DIAG:130,0,12.409391,1.490725,3.865583,0,0,22.577989,1,4180389.8381,851774.7128,4726086.5523,4180389.6987,851771.2665,4726086.3300,11.1987
DIAG:131,0,14.862812,3.634801,2.873383,0,0,22.577989,1,4180387.6519,851774.2501,4726088.8557,4180388.9685,851771.1177,4726086.9982,14.7379
DIAG:132,0,8.630715,1.782519,2.559695,0,0,22.577989,1,4180385.5627,851773.8813,4726090.3570,4180388.2384,851770.9689,4726087.6663,10.8769
DIAG:133,0,12.929197,5.402978,2.914828,0,0,22.577989,1,4180386.6083,851774.7290,4726090.7689,4180387.5083,851770.8202,4726088.3344,11.6162
DIAG:134,0,22.385144,10.018519,3.757555,0,0,22.577989,1,4180387.8249,851773.0355,4726089.3764,4180386.7781,851770.6714,4726089.0026,18.3555
DIAG:135,0,13.114866,2.304931,3.863981,0,0,22.577989,1,4180388.1884,851773.0965,4726088.4623,4180386.0480,851770.5226,4726089.6707,13.7063
DIAG:136,0,9.290519,1.075443,3.802135,0,0,22.577989,1,4180388.2126,851773.3131,4726090.1346,4180385.3179,851770.3739,4726090.3389,10.0450
DIAG:137,0,19.980526,6.496147,4.334171,0,0,22.577989,1,4180386.7540,851771.5362,4726088.5449,4180384.5877,851770.2251,4726091.0070,18.3201
DIAG:138,0,4.722073,0.595545,3.744154,0,0,22.577989,1,4180385.5530,851770.9344,4726088.6752,4180383.8576,851770.0763,4726091.6751,5.3711
DIAG:139,0,10.211874,1.832353,3.463396,0,0,22.577989,1,4180384.0749,851771.3691,4726088.0284,4180383.1275,851769.9276,4726092.3433,12.6838
DIAG:140,0,9.929996,3.256609,3.639985,0,0,22.577989,1,4180382.4976,851772.7208,4726088.1522,4180382.3973,851769.7788,4726093.0114,12.4255
DIAG:141,0,13.607956,2.027849,3.479289,0,0,22.577989,1,4180381.1005,851773.0884,4726086.7813,4180381.6672,851769.6300,4726093.6796,19.2337
DIAG:142,0,13.415198,6.064053,3.907443,0,0,22.577989,1,4180381.8310,851771.2639,4726086.8617,4180380.9370,851769.4813,4726094.3477,13.3628
DIAG:143,0,9.927090,3.331737,3.700319,0,0,22.577989,1,4180379.7788,851769.8846,4726087.1366,4180380.2069,851769.3325,4726095.0158,11.0279
DIAG:144,0,22.725938,5.252400,3.223707,0,0,22.577989,1,4180379.8772,851769.4418,4726090.2715,4180379.4768,851769.1837,4726095.6840,14.5515
DIAG:145,0,9.299507,2.084496,3.201663,0,0,22.577989,1,4180379.7613,851767.9694,4726091.4621,4180378.7466,851769.0349,4726096.3521,7.3804
DIAG:146,0,7.551055,0.953561,3.189475,0,0,22.577989,1,4180378.3222,851767.3843,4726092.7651,4180378.0165,851768.8862,4726097.0202,3.9678
DIAG:147,0,17.574734,3.181512,2.858011,0,0,22.577989,1,4180377.8436,851767.6532,4726091.0535,4180377.2864,851768.7374,4726097.6884,21.6244
DIAG:148,0,25.535058,5.835035,3.381961,0,0,22.577989,1,4180376.8619,851767.0877,4726094.7916,4180376.5562,851768.5886,4726098.3565,18.7187
DIAG:149,0,4.198982,0.274005,3.226126,0,0,22.577989,1,4180375.8255,851766.9704,4726095.8810,4180375.8261,851768.4399,4726099.0247,1.2778
DIAG:150,1,16.860140,7.146710,3.615136,0,0,22.577989,1,4180375.6938,851768.9813,4726095.2177,4180375.0960,851768.2911,4726099.6928,17.7582
DIAG:151,1,21.474864,5.306998,3.943051,0,0,22.577989,1,4180375.6034,851769.9562,4726093.0975,4180374.3658,851768.1423,4726100.3609,26.1177
DIAG:152,1,17.425585,8.854292,4.222075,0,0,22.577989,1,4180377.5032,851768.6856,4726092.4687,4180373.6357,851767.9936,4726101.0291,22.1540
DIAG:153,1,7.434150,1.186541,4.007555,0,0,22.577989,1,4180376.4867,851767.8065,4726092.0758,4180372.9055,851767.8448,4726101.6972,14.5770
DIAG:154,1,19.002277,4.872046,3.969520,0,0,22.577989,1,4180377.4926,851767.8108,4726094.5847,4180372.1754,851767.6960,4726102.3653,13.9487
DIAG:155,1,7.453084,1.823870,3.943457,0,0,22.577989,1,4180378.1629,851766.7339,4726095.1919,4180371.4453,851767.5473,4726103.0335,13.8024
DIAG:156,1,3.980985,0.370597,3.885161,0,0,22.577989,1,4180377.3964,851766.4951,4726095.9535,4180370.7151,851767.3985,4726103.7016,6.9677
DIAG:157,1,20.781471,4.462761,4.013285,0,0,22.577989,1,4180377.4852,851767.0636,4726093.7423,4180369.9850,851767.2497,4726104.3698,29.7899
DIAG:158,1,22.966599,4.727278,3.902510,0,0,22.577989,1,4180376.9745,851766.7540,4726097.0216,4180369.2549,851767.1010,4726105.0379,13.5531
DIAG:159,1,3.112885,0.271313,3.902240,0,0,22.577989,1,4180376.3217,851766.8523,4726097.6919,4180368.5247,851766.9522,4726105.7060,9.1159
DIAG:160,1,5.135657,0.892656,3.276835,0,0,22.577989,1,4180376.5559,851765.9165,4726098.1954,4180367.7946,851766.8034,4726106.3742,14.4504
DIAG:161,1,3.627818,0.423150,2.788450,0,0,22.577989,1,4180375.8339,851766.0884,4726098.5573,4180367.0644,851766.6547,4726107.0423,11.5097
DIAG:162,1,12.559251,2.096201,2.112641,0,0,22.577989,1,4180374.6904,851766.3319,4726097.5338,4180366.3343,851766.5059,4726107.7104,20.6520
DIAG:163,1,16.146871,3.489875,2.342975,0,0,22.577989,1,4180375.5239,851766.4549,4726095.9797,4180365.6042,851766.3571,4726108.3786,29.4650
DIAG:164,1,8.644652,2.116314,2.067401,0,0,22.577989,1,4180374.4365,851767.4270,4726096.7522,4180364.8740,851766.2083,4726109.0467,12.2239
DIAG:165,1,23.477141,8.431159,2.728130,0,0,22.577989,1,4180373.4680,851765.3323,4726099.6927,4180364.1439,851766.0596,4726109.7148,14.1580
DIAG:166,1,8.017053,2.147492,2.905820,0,0,22.577989,1,4180372.6833,851763.7115,4726100.0132,4180363.4138,851765.9108,4726110.3830,16.0196
DIAG:167,1,13.623607,3.117869,2.771331,0,0,22.577989,1,4180373.1555,851764.3917,4726098.9819,4180362.6836,851765.7620,4726111.0511,26.4847
DIAG:168,1,27.540919,8.164075,3.115010,0,0,22.577989,1,4180371.6416,851764.8809,4726102.8186,4180361.9535,851765.6133,4726111.7192,14.9928
DIAG:169,1,6.186224,1.268584,3.214738,0,0,22.577989,1,4180370.9068,851765.7633,4726103.2749,4180361.2233,851765.4645,4726112.3874,14.0952
DIAG:170,1,11.811886,1.778336,3.303306,0,0,22.577989,1,4180369.9716,851764.9578,4726102.4283,4180360.4932,851765.3157,4726113.0555,21.7029
DIAG:171,1,19.111425,5.409421,3.801933,0,0,22.577989,1,4180367.7537,851764.5928,4726105.1104,4180359.7631,851765.1670,4726113.7236,6.0702
DIAG:172,1,12.608231,3.055041,3.897817,0,0,22.577989,1,4180366.8776,851765.8790,4726107.0208,4180359.0329,851765.0182,4726114.3918,10.3348
DIAG:173,1,22.301686,4.500855,3.998915,0,0,22.577989,1,4180366.1881,851765.4761,4726110.6776,4180358.3028,851764.8694,4726115.0599,16.9590
