HPM3 configured with 
mask 0x40001
HPM4 configured with mask 0x1000000
HPM5 configured with mask 0x2001
HPM6 configured with mask 0x0201
HPM7 configured with mask 0x0101
HPM8 configured with mask 0x2000
HPM9 configured with mask 0x8001
HPM10 configured with mask 0x0100
Start
Stop
DIAG_START
DIAG:112,0,2.316266,0.202648,1.932184,0,0,5.374935,1,4180403.8563,851774.0582,4726078.6948,4180402.8411,851773.9443,4726074.3035,5.6610,1.000000
DIAG:113,0,19.757098,10.630943,2.895093,0,0,5.341571,1,4180402.5463,851773.9566,4726078.9977,4180402.1110,851773.7955,4726074.9716,16.4365,1.000000
DIAG:114,0,6.441669,1.300472,2.619367,0,0,5.309011,1,4180401.9819,851773.9252,4726079.8239,4180401.3808,851773.6468,4726075.6398,9.4464,1.000000
DIAG:115,0,8.316725,0.973873,2.533024,0,0,5.277236,1,4180401.1552,851773.8301,4726080.2846,4180400.6507,851773.4980,4726076.3079,4.5290,1.000000
DIAG:116,0,12.788422,1.620240,2.418786,0,0,5.246227,1,4180400.4490,851773.6237,4726080.5754,4180399.9206,851773.3492,4726076.9761,8.8056,1.000000
DIAG:117,0,26.171956,9.483136,3.366444,0,0,5.215968,1,4180400.0750,851773.5812,4726080.4854,4180399.1904,851773.2004,4726077.6442,23.1039,1.000000
DIAG:118,0,9.670778,2.825370,3.531580,0,0,5.186440,1,4180399.4836,851773.1319,4726081.0163,4180398.4603,851773.0517,4726078.3123,8.5990,6.504255
DIAG:119,0,4.798237,0.884269,3.409132,0,0,5.157628,1,4180398.6105,851772.8487,4726081.7094,4180397.7302,851772.9029,4726078.9805,4.6265,6.571715
DIAG:120,0,8.091974,2.293597,3.156005,0,0,5.129514,1,4180397.7877,851772.3978,4726082.3249,4180397.0000,851772.7541,4726079.6486,7.4230,3.559822
DIAG:121,0,11.556120,3.790028,3.400458,0,0,5.102084,1,4180397.0913,851772.5588,4726082.8120,4180396.2699,851772.6054,4726080.3168,9.9393,2.376904
DIAG:122,0,8.067244,2.048433,3.585036,0,0,5.075321,1,4180396.1065,851772.3134,4726083.6480,4180395.5398,851772.4566,4726080.9849,9.0354,3.245643
DIAG:123,0,6.682355,1.489935,2.670935,0,0,5.049210,1,4180395.1896,851772.0057,4726084.4492,4180394.8096,851772.3078,4726081.6530,7.9521,4.406107
DIAG:124,0,9.256472,0.896592,2.630547,0,0,5.023737,1,4180394.4390,851771.8727,4726084.8742,4180394.0795,851772.1591,4726082.3212,6.3869,1.000000
DIAG:125,0,6.237473,1.006088,2.633769,0,0,4.998887,1,4180393.5364,851771.6373,4726085.4581,4180393.3493,851772.0103,4726082.9893,4.6965,1.000000
DIAG:126,0,4.329222,0.470630,2.518808,0,0,4.974646,1,4180392.7273,851771.5450,4726086.2656,4180392.6192,851771.8615,4726083.6575,6.1142,1.000000
DIAG:127,0,12.128805,1.846778,1.755172,0,0,4.951002,1,4180392.0820,851771.4618,4726086.6224,4180391.8891,851771.7128,4726084.3256,9.5768,1.000000
DIAG:128,0,7.531367,2.047400,1.677375,0,0,4.927940,1,4180391.1292,851771.4358,4726087.2648,4180391.1589,851771.5640,4726084.9937,6.8855,1.000000
DIAG:129,0,7.204073,1.435887,1.732537,0,0,4.905447,1,4180390.4089,851771.0537,4726087.8411,4180390.4288,851771.4152,4726085.6619,6.2026,1.000000
DIAG:130,0,9.901652,1.685584,1.671735,0,0,4.883511,1,4180389.5515,851770.7334,4726088.2931,4180389.6987,851771.2665,4726086.3300,8.2767,1.000000
DIAG:131,0,12.147775,3.003634,1.593096,0,0,4.862120,1,4180388.5404,851770.5869,4726089.2987,4180388.9685,851771.1177,4726086.9982,13.8541,1.000000
