t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error,lambda_k
80,0,6.891938,0.612073,1.866769,0,0,18.394832,1,4180424.2956,851780.5329,4726050.9433,4180426.2053,851778.7048,4726052.9229,9.0031,1.000000
81,0,6.433085,1.141070,1.856252,0,0,17.869733,1,4180424.1507,851780.3345,4726051.0107,4180425.4752,851778.5561,4726053.5911,6.7069,1.000000
82,0,15.052240,2.280431,1.978146,0,0,17.372557,1,4180423.6837,851780.4411,4726053.1819,4180424.7450,851778.4073,4726054.2592,12.5617,1.000000
83,0,10.109928,2.200069,1.870308,0,0,16.901271,1,4180422.9463,851781.1187,4726054.5629,4180424.0149,851778.2585,4726054.9273,10.9664,1.000000
84,0,15.677831,6.240231,2.461055,0,0,16.454021,1,4180423.0409,851780.0086,4726054.0771,4180423.2848,851778.1098,4726055.5955,13.8528,1.000000
85,0,9.817323,2.249045,2.554879,0,0,16.029114,1,4180423.0375,851779.5936,4726055.3415,4180422.5546,851777.9610,4726056.2636,8.1745,1.000000
86,0,12.044025,4.283703,2.641699,0,0,15.625002,1,4180422.9631,851778.5637,4726056.5401,4180421.8245,851777.8122,4726056.9318,10.6854,1.000000
87,0,9.599909,3.260709,2.813658,0,0,15.240269,1,4180423.2109,851778.7616,4726057.3248,4180421.0944,851777.6635,4726057.5999,10.9322,1.000000
88,0,8.634662,0.716288,2.471097,0,0,14.873619,1,4180422.6868,851778.5329,4726058.7837,4180420.3642,851777.5147,4726058.2681,8.7756,1.000000
89,0,7.441275,1.123089,2.410671,0,0,14.523864,1,4180422.5029,851778.1959,4726059.9809,4180419.6341,851777.3659,4726058.9362,9.2480,1.000000
90,0,8.515612,0.976240,2.447087,0,0,14.189913,1,4180421.7965,851778.3372,4726061.3796,4180418.9040,851777.2172,4726059.6044,9.8523,1.000000
91,0,12.083319,3.875648,2.720545,0,0,13.870763,1,4180420.4468,851778.6514,4726062.7428,4180418.1739,851777.0684,4726060.2725,12.1298,1.000000
92,0,18.716997,5.066543,2.999156,0,0,13.565494,1,4180419.1355,851778.2678,4726061.9424,4180417.4437,851776.9196,4726060.9406,15.3071,1.000000
93,0,12.646055,1.730071,2.952157,0,0,13.273255,1,4180418.2281,851778.1754,4726061.5257,4180416.7136,851776.7709,4726061.6088,11.4874,1.000000
94,0,10.091518,2.589489,2.587083,0,0,12.993263,1,4180417.1226,851777.5521,4726061.5950,4180415.9835,851776.6221,4726062.2769,8.6647,1.000000
