t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
80,0,19.912636,9.693169,3.584571,0,0,48.607696,1,4180427.0752,851780.6731,4726052.4132,4180426.2053,851778.7048,4726052.9229,11.9989
81,0,9.852764,1.192424,3.305140,0,0,48.607696,1,4180428.4616,851779.9110,4726050.4435,4180425.4752,851778.5561,4726053.5911,11.2227
82,0,13.007885,2.537077,3.034200,0,0,48.607696,1,4180426.0562,851778.4374,4726053.3648,4180424.7450,851778.4073,4726054.2592,7.7286
83,0,9.045033,1.320163,2.459939,0,0,48.607696,1,4180425.7493,851779.6669,4726051.9314,4180424.0149,851778.2585,4726054.9273,9.7655
84,0,4.722243,0.650479,2.420685,0,0,48.607696,1,4180426.3858,851777.9825,4726052.2514,4180423.2848,851778.1098,4726055.5955,6.2879
85,0,5.638138,0.809531,2.284086,0,0,48.607696,1,4180428.0228,851777.6998,4726053.1134,4180422.5546,851777.9610,4726056.2636,8.7848
86,0,20.552462,4.562633,2.623514,0,0,48.607696,1,4180425.5580,851776.6885,4726058.6034,4180421.8245,851777.8122,4726056.9318,15.7474
87,0,5.922749,1.029492,2.495662,0,0,48.607696,1,4180426.1971,851777.9106,4726059.6522,4180421.0944,851777.6635,4726057.5999,7.9760
88,0,2.152330,0.047687,2.287248,0,0,48.607696,1,4180425.8826,851777.4726,4726061.3165,4180420.3642,851777.5147,4726058.2681,6.9145
89,0,13.540338,1.805463,2.364812,0,0,48.607696,1,4180424.2387,851777.4117,4726066.0158,4180419.6341,851777.3659,4726058.9362,16.6122
90,0,28.371430,7.622920,2.157787,0,0,48.607696,1,4180425.1568,851779.5771,4726060.3680,4180418.9040,851777.2172,4726059.6044,22.0644
91,0,5.753987,0.393806,2.077925,0,0,48.607696,1,4180425.8279,851780.1284,4726059.5483,4180418.1739,851777.0684,4726060.2725,10.8120
92,0,15.496022,3.545220,2.178739,0,0,48.607696,1,4180422.7616,851781.2494,4726063.3772,4180417.4437,851776.9196,4726060.9406,13.0553
93,0,5.005279,0.620523,2.108775,0,0,48.607696,1,4180421.6883,851780.2231,4726063.6587,4180416.7136,851776.7709,4726061.6088,4.3476
94,0,11.976017,1.528063,2.196534,0,0,48.607696,1,4180420.6413,851778.8746,4726061.4410,4180415.9835,851776.6221,4726062.2769,9.9079
95,0,9.368621,2.145431,2.330124,0,0,48.607696,1,4180417.0448,851777.6552,4726062.9942,4180415.2533,851776.4733,4726062.9451,4.6107
96,0,13.752040,5.050368,2.378897,0,0,48.607696,1,4180419.2946,851774.4535,4726064.8396,4180414.5232,851776.3246,4726063.6132,14.0638
97,0,14.016801,2.546585,2.530607,0,0,48.607696,1,4180416.7468,851774.9669,4726068.8940,4180413.7931,851776.1758,4726064.2814,13.6303
98,0,11.394404,1.315858,2.657424,0,0,48.607696,1,4180416.9850,851774.6325,4726067.2291,4180413.0629,851776.0270,4726064.9495,8.3809
99,0,14.764519,4.228995,2.899777,0,0,48.607696,1,4180412.3613,851774.5687,4726070.7537,4180412.3328,851775.8783,4726065.6176,14.2148
100,0,5.365583,0.804983,2.217983,0,0,48.607696,1,4180410.5738,851775.9480,4726072.3560,4180411.6027,851775.7295,4726066.2858,8.0176
101,0,10.148756,1.709904,2.349593,0,0,48.607696,1,4180410.3380,851777.7257,4726071.5205,4180410.8725,851775.5807,4726066.9539,5.8835
102,0,10.035675,2.540497,2.249121,0,0,48.607696,1,4180407.9138,851775.0022,4726073.6700,4180410.1424,851775.4320,4726067.6221,11.7250
103,0,2.410442,0.099269,2.196995,0,0,48.607696,1,4180406.7898,851774.3259,4726075.3044,4180409.4123,851775.2832,4726068.2902,8.6775
104,0,10.130114,2.999370,2.344126,0,0,48.607696,1,4180405.1029,851777.5445,4726076.2779,4180408.6821,851775.1344,4726068.9584,11.7596
105,0,7.027304,1.259828,2.255566,0,0,48.607696,1,4180404.2044,851775.7298,4726078.2669,4180407.9520,851774.9857,4726069.6265,11.5750
106,0,10.161090,1.206255,1.871154,0,0,48.607696,1,4180402.2711,851774.1896,4726077.0752,4180407.2219,851774.8369,4726070.2946,6.7318
107,0,7.509884,1.443870,1.760883,0,0,48.607696,1,4180403.1943,851774.1298,4726077.1337,4180406.4917,851774.6881,4726070.9628,4.0033
108,0,6.598663,0.406462,1.669943,0,0,48.607696,1,4180402.8444,851773.8425,4726079.6395,4180405.7616,851774.5394,4726071.6309,12.7960
109,0,10.843516,1.806306,1.427674,0,0,48.607696,1,4180404.2658,851773.0203,4726083.0639,4180405.0315,851774.3906,4726072.2991,17.5922
110,0,10.938265,3.013193,1.648495,0,0,48.607696,1,4180400.4770,851773.3336,4726083.1765,4180404.3014,851774.2418,4726072.9672,11.9962
111,0,17.258480,4.163028,1.893808,0,0,48.607696,1,4180402.6434,851773.6360,4726080.4347,4180403.5712,851774.0931,4726073.6354,6.2251
112,0,4.054189,0.398926,1.679651,0,0,48.607696,1,4180403.5312,851773.3066,4726080.4927,4180402.8411,851773.9443,4726074.3035,5.6610
113,0,21.084434,8.886614,2.558385,0,0,48.607696,1,4180397.8082,851774.0527,4726077.2241,4180402.1110,851773.7955,4726074.9716,16.4365
114,0,11.705632,3.306742,2.589122,0,0,48.607696,1,4180399.9344,851775.2685,4726078.7086,4180401.3808,851773.6468,4726075.6398,9.4464
115,0,6.030538,0.297946,2.492934,0,0,48.607696,1,4180399.0966,851775.5960,4726077.2483,4180400.6507,851773.4980,4726076.3079,4.5290
116,0,9.790075,1.115153,2.483824,0,0,48.607696,1,4180399.3771,851774.7306,4726074.7442,4180399.9206,851773.3492,4726076.9761,8.8056
117,0,20.059997,5.465104,2.885948,0,0,48.607696,1,4180402.5995,851775.5082,4726069.6100,4180399.1904,851773.2004,4726077.6442,23.1039
118,0,12.260212,3.179181,3.163219,0,0,48.607696,1,4180402.9612,851772.2380,4726070.4604,4180398.4603,851773.0517,4726078.3123,8.5990
119,0,14.632086,3.290625,3.311651,0,0,48.607696,1,4180400.2663,851771.1509,4726072.7795,4180397.7302,851772.9029,4726078.9805,4.6265
120,0,9.863671,1.747628,3.185095,0,0,48.607696,1,4180398.3068,851768.6808,4726074.3496,4180397.0000,851772.7541,4726079.6486,7.4230
121,0,13.988300,5.675278,3.336320,0,0,48.607696,1,4180397.8005,851772.5964,4726074.7914,4180396.2699,851772.6054,4726080.3168,9.9393
122,0,14.943882,3.083687,3.604796,0,0,48.607696,1,4180394.4350,851771.8782,4726078.2478,4180395.5398,851772.4566,4726080.9849,9.0354
123,0,9.357938,1.056995,2.821834,0,0,48.607696,1,4180392.1833,851770.6454,4726081.0756,4180394.8096,851772.3078,4726081.6530,7.9521
124,0,7.443021,0.865363,2.577696,0,0,48.607696,1,4180391.9104,851771.3484,4726080.3716,4180394.0795,851772.1591,4726082.3212,6.3869
125,0,1.752475,0.086455,2.556547,0,0,48.607696,1,4180390.1722,851770.9134,4726081.1420,4180393.3493,851772.0103,4726082.9893,4.6965
126,0,8.296365,0.871896,2.532221,0,0,48.607696,1,4180389.6081,851771.9014,4726083.7988,4180392.6192,851771.8615,4726083.6575,6.1142
127,0,11.381613,1.939161,2.179627,0,0,48.607696,1,4180390.6820,851772.7354,4726082.2590,4180391.8891,851771.7128,4726084.3256,9.5768
128,0,5.644716,0.825509,1.944260,0,0,48.607696,1,4180388.4147,851773.9062,4726083.4637,4180391.1589,851771.5640,4726084.9937,6.8855
