t,attack_active,innovation_norm,nis,anis,nis_alarm,anis_alarm,p_trace,invert_ok,filt_x,filt_y,filt_z,true_x,true_y,true_z,spoof_error
158,1,26.668363,23.847341,4079.994737,1,1,22.577989,1,4180885.9503,852286.2593,4726107.6156,4180369.2549,851767.1010,4726105.0379,711.0880
159,1,66.829244,140.810221,4093.979422,1,1,22.577989,1,4180909.6181,852309.1707,4726105.8381,4180368.5247,851766.9522,4726105.7060,714.3376
160,1,101.300468,337.640627,2455.617468,1,1,22.577989,1,4180928.0044,852326.5714,4726103.9464,4180367.7946,851766.8034,4726106.3742,711.0424
161,1,126.420344,538.502384,1397.690280,1,1,22.577989,1,4180940.9285,852340.0192,4726103.1201,4180367.0644,851766.6547,4726107.0423,708.1754
162,1,145.371635,707.245829,815.758719,1,1,22.577989,1,4180949.3978,852350.0440,4726105.9719,4180366.3343,851766.5059,4726107.7104,707.0477
163,1,147.243434,729.917060,526.501877,1,1,22.577989,1,4180956.2257,852357.3745,4726108.2989,4180365.6042,851766.3571,4726108.3786,715.5508
164,1,174.470490,1030.665036,439.915899,1,1,22.577989,1,4180956.8609,852360.0459,4726109.2814,4180364.8740,851766.2083,4726109.0467,695.7831
165,1,170.154964,978.543903,465.802302,1,1,22.577989,1,4180955.1744,852361.7989,4726111.1663,4180364.1439,851766.0596,4726109.7148,700.4881
166,1,164.875270,917.463840,541.347220,1,1,22.577989,1,4180953.5046,852360.5016,4726110.5460,4180363.4138,851765.9108,4726110.3830,703.0851
167,1,156.198967,826.163990,623.080023,1,1,22.577989,1,4180950.9911,852357.9743,4726111.2357,4180362.6836,851765.7620,4726111.0511,706.9005
168,1,152.485276,787.014742,699.396763,1,1,22.577989,1,4180946.2914,852354.5935,4726111.4802,4180361.9535,851765.6133,4726111.7192,704.8900
169,1,138.758301,646.619068,749.977648,1,1,22.577989,1,4180942.4801,852350.1560,4726110.2436,4180361.2233,851765.4645,4726112.3874,711.7324
170,1,139.534831,659.121221,782.125707,1,1,22.577989,1,4180935.6737,852344.7712,4726110.4570,4180360.4932,851765.3157,4726113.0555,702.2900
171,1,119.645234,484.517186,776.727188,1,1,22.577989,1,4180930.2111,852339.5714,4726111.3752,4180359.7631,851765.1670,4726113.7236,711.6193
172,1,125.478510,531.475167,759.150121,1,1,22.577989,1,4180922.4207,852332.1998,4726113.0131,4180359.0329,851765.0182,4726114.3918,696.9488
173,1,102.566319,356.215536,721.779969,1,1,22.577989,1,4180915.1861,852326.9019,4726113.7148,4180358.3028,851764.8694,4726115.0599,707.3565
174,1,94.259898,300.856900,648.799155,1,1,22.577989,1,4180909.4291,852319.7086,4726114.4040,4180357.5726,851764.7207,4726115.7281,705.8370
175,1,94.103417,298.602826,580.805048,1,1,22.577989,1,4180900.5370,852313.3298,4726115.9828,4180356.8425,851764.5719,4726116.3962,695.9929
176,1,76.690004,199.153165,508.973980,1,1,22.577989,1,4180893.9367,852306.6042,4726116.6710,4180356.1124,851764.4231,4726117.0643,700.9575
177,1,63.607185,135.735328,439.931114,1,1,22.577989,1,4180888.5065,852300.2623,4726118.3167,4180355.3822,851764.2744,4726117.7325,704.5181
178,1,55.847565,100.187340,371.248374,1,1,22.577989,1,4180881.7845,852296.0613,4726117.1491,4180354.6521,851764.1256,4726118.4006,705.4363
179,1,42.657942,59.740191,312.560486,1,1,22.577989,1,4180876.2540,852292.3146,4726116.6436,4180353.9219,851763.9768,4726119.0687,709.0157
180,1,42.804665,60.933441,252.741708,1,1,22.577989,1,4180870.3628,852287.6896,4726116.3217,4180353.1918,851763.8280,4726119.7369,701.6168
181,1,35.897325,43.264272,208.616417,1,1,22.577989,1,4180865.4331,852282.7465,4726116.3084,4180352.4617,851763.6793,4726120.4050,700.7203
182,1,35.917511,33.240794,158.792979,1,1,22.577989,1,4180861.0573,852277.9674,4726119.4606,4180351.7315,851763.5305,4726121.0731,700.2084
183,1,19.326804,8.788441,124.050270,0,1,22.577989,1,4180857.3597,852275.4859,4726118.4716,4180351.0014,851763.3817,4726121.7413,708.3273
